timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2023-12-23,43989.0,43752.0,44018.0,43375.0,9872050975.657969,856850313226.057,-0.005743212832717632,0.0,time,5.0,-0.0267,0.0221
2023-12-24,43730.0,43035.0,43943.0,42895.0,18313974069.822754,845029028630.4425,-0.016523587943033803,0.0,time,5.0,-0.0226,0.0218
2023-12-25,42999.0,43638.0,43744.0,42770.0,18744716867.39297,854524607072.9797,0.013914592299020836,0.0,time,5.0,-0.033,0.0211
2023-12-26,43587.0,42516.0,43587.0,41820.0,20477744539.87234,832471600531.6842,-0.02604785472912336,0.0,time,5.0,-0.0073,0.0219
2023-12-27,42503.0,43418.0,43662.0,42123.0,23244754807.443966,849194163327.4839,0.02099362599522838,1.0,time,5.0,0.0171,0.0217
2023-12-28,43456.0,42601.0,43789.0,42324.0,20336573643.81929,836073458797.803,-0.018996374488349392,1.0,upper,5.0,0.0547,0.0216
2023-12-29,42591.0,42075.0,43097.0,41614.0,24832397519.050613,822933961870.5416,-0.012423987101344607,1.0,upper,3.0,0.0486,0.0209
2023-12-30,42092.0,42221.0,42610.0,41574.0,14727224645.41767,826609156660.5117,0.003463987519938259,1.0,upper,2.0,0.0451,0.02
2023-12-31,42197.0,42208.0,42838.0,42008.0,14183728910.169804,827596236151.1959,-0.0003079510619037299,1.0,upper,1.0,0.0454,0.019
2024-01-01,42261.0,44169.0,44169.0,42242.0,16958999497.58364,863804922701.8125,0.04541340901647714,0.0,time,5.0,-0.0048,0.0228
2024-01-02,44148.0,44995.0,45870.0,44148.0,39089952715.542786,878395004792.8407,0.01852818693453057,0.0,lower,1.0,-0.0495,0.0221
2024-01-03,44952.0,42822.0,45469.0,41805.0,43146162597.56747,838208392904.1771,-0.04949938326892658,1.0,upper,5.0,0.0917,0.0267
2024-01-04,42863.0,44196.0,44814.0,42675.0,26123887042.79777,866352960236.8643,0.03158229803394314,1.0,upper,4.0,0.0602,0.0271
2024-01-05,44174.0,44114.0,44281.0,43116.0,29364675804.010384,863690851062.0247,-0.0018570948605323967,1.0,upper,3.0,0.062,0.0258
2024-01-06,44165.0,43956.0,44221.0,43479.0,11841102132.239353,861211168830.4689,-0.003588058805718564,1.0,upper,2.0,0.0656,0.0247
2024-01-07,44002.0,43884.0,44489.0,43687.0,15144653805.362787,856926317087.4954,-0.0016393446294331684,1.0,upper,1.0,0.0672,0.0235
2024-01-08,43953.0,46936.0,47193.0,43248.0,40821502383.50064,919666641903.4098,0.06723518266831421,0.0,lower,4.0,-0.0901,0.0298
2024-01-09,46967.0,46106.0,47680.0,45416.0,39887918405.77868,902166917320.3264,-0.01784187824615453,0.0,lower,3.0,-0.0722,0.0294
2024-01-10,46141.0,46632.0,47599.0,44591.0,52030057180.57072,915259343942.0361,0.011343907365844378,0.0,lower,2.0,-0.0836,0.028
2024-01-11,46566.0,46314.0,48888.0,45662.0,49198128806.306175,909846384596.2129,-0.006842709547476863,0.0,lower,1.0,-0.0767,0.0269
2024-01-12,46369.0,42894.0,46504.0,41730.0,45913301456.05085,838383512176.7352,-0.07671233518300202,0.0,time,5.0,-0.0042,0.0355
2024-01-13,42871.0,42848.0,43213.0,42434.0,19424747840.478386,839198740717.084,-0.001072986504007795,0.0,time,5.0,-0.0377,0.0337
2024-01-14,42823.0,41801.0,43088.0,41754.0,16968959097.076523,822907066751.3778,-0.024738706819236383,0.0,time,5.0,-0.0048,0.0328
2024-01-15,41747.0,42587.0,43313.0,41747.0,22634527323.56315,835225973285.8562,0.01862877969444427,0.0,time,5.0,-0.0228,0.032
2024-01-16,42506.0,43148.0,43539.0,42170.0,22023116042.275295,845770850849.578,0.013087024129212593,0.0,time,5.0,-0.0379,0.0308
2024-01-17,43136.0,42714.0,43198.0,42221.0,21299064875.187115,836987995502.6503,-0.010109331163391423,0.0,lower,5.0,-0.0781,0.0294
2024-01-18,42753.0,41261.0,42883.0,40655.0,25160430945.289833,808845819110.2808,-0.034608991451670346,0.0,time,5.0,-0.0352,0.0296
2024-01-19,41260.0,41601.0,42094.0,40300.0,24407872954.726807,815241536115.3193,0.00820646154171603,0.0,time,5.0,-0.0361,0.0285
2024-01-20,41624.0,41626.0,41844.0,41423.0,9533488489.00503,817217622403.9753,0.0006007665962228821,0.0,time,5.0,-0.0414,0.0271
