fast_period,slow_period,profit_factor,n_trades
12,20,1.141941555968811,45
12,21,1.1417973975108333,45
12,22,1.1445630913361577,45
12,23,1.1611234310081544,43
12,24,1.1547712830302692,41
12,25,1.1545418270061765,39
12,26,1.1558674271341822,41
12,27,1.1614035028774532,37
12,28,1.1665095702734882,37
12,29,1.1664767874340896,37
12,30,1.1698736846242221,35
12,31,1.166034716697573,35
12,32,1.1433412093416155,37
12,33,1.153607229433476,35
12,34,1.143226757413983,35
12,35,1.1446773641252133,33
12,36,1.150747458693993,33
12,37,1.153294404598466,33
12,38,1.139542125751741,33
12,39,1.1380392621270243,33
12,40,1.1465851394118232,31
12,41,1.1341715370953362,33
12,42,1.1339089038889465,35
12,43,1.1315769097681156,37
12,44,1.1338133236331462,37
12,45,1.1377569005632777,37
12,46,1.1552615221533933,35
12,47,1.1511420503584875,33
12,48,1.1453085897465025,33
12,49,1.1459622767705617,33
12,50,1.1451154187692123,33
13,20,1.1351213682258574,47
13,21,1.1421776049627843,45
13,22,1.1599732975794197,41
13,23,1.1487755067682432,41
13,24,1.1578783608155188,39
13,25,1.164680317724974,39
13,26,1.1612266160245972,37
13,27,1.1724024133037951,37
13,28,1.1739708237428919,35
13,29,1.1643637211881288,35
13,30,1.1506792228492804,35
13,31,1.1347875640846994,37
13,32,1.1420032452224433,35
13,33,1.139355715713209,35
13,34,1.1505967230613412,33
13,35,1.1548955531756135,33
13,36,1.1399516717060019,33
13,37,1.142350212190647,33
13,38,1.1491178551724537,31
13,39,1.1476035732969618,33
13,40,1.14873115690504,31
13,41,1.1371584893304691,35
13,42,1.1487649816106582,37
13,43,1.1357956919825631,35
13,44,1.137935543800482,35
13,45,1.144785381847448,35
13,46,1.1528690101660026,33
13,47,1.1526320181729153,33
13,48,1.1384794280088528,33
13,49,1.135417650545064,33
13,50,1.1391448240013315,33
14,20,1.1412142936668805,45
14,21,1.157183106211273,41
14,22,1.1487755067682432,41
14,23,1.1578783608155188,39
14,24,1.1614035028774532,37
14,25,1.1633366999371018,37
14,26,1.1753451413293308,35
14,27,1.1739708237428919,35
14,28,1.1592233963069525,35
14,29,1.1530590754355396,35
14,30,1.1435544832983233,35
14,31,1.14174398296597,35
14,32,1.1400113494318445,35
14,33,1.1570016722680312,33
14,34,1.157844797145342,33
14,35,1.1479629699629763,33
14,36,1.1389808731338165,33
14,37,1.1479014831452357,31
14,38,1.145062172692657,31
14,39,1.1466175536984717,31
14,40,1.1643612753226302,31
14,41,1.1376743969806011,35
14,42,1.1343175144873758,37
14,43,1.150323980858292,33
14,44,1.1355881262006484,35
14,45,1.1457200368096903,35
14,46,1.1442882079149506,33
14,47,1.1344916485597374,33
14,48,1.136803558597743,33
14,49,1.1405417666447215,31
14,50,1.1339699826605931,31
15,20,1.151364984810007,41
15,21,1.1487755067682432,41
15,22,1.1607629381798554,39
15,23,1.1594576039164126,37
15,24,1.1670907162365611,37
15,25,1.183757750701136,35
15,26,1.178049462074794,33
15,27,1.1633998115484643,35
15,28,1.1553640034233412,35
15,29,1.1477565351417385,33
15,30,1.137953736751964,35
15,31,1.1497893526412497,33
15,32,1.1546189852318196,33
15,33,1.147456414307945,33
15,34,1.1472442321970966,33
15,35,1.1529296651313536,31
15,36,1.1476961533411578,31
15,37,1.1457912807143442,31
15,38,1.1610875644383836,31
15,39,1.1457950447479657,31
15,40,1.1365312069924771,33
15,41,1.1491930263776036,35
15,42,1.1458606348243128,33
15,43,1.1349976826438049,33
15,44,1.128144811699257,35
15,45,1.141571195608231,33
15,46,1.1375878749651773,33
15,47,1.1390766571161506,33
15,48,1.1336050615849569,31
15,49,1.1269841012915567,33
15,50,1.1548498773104832,27
16,20,1.152308578447373,41
16,21,1.1708250816812436,37
16,22,1.1633366999371018,37
16,23,1.1660659179192865,37
16,24,1.1838173066412616,33
16,25,1.1769280198673882,33
16,26,1.1633998115484643,35
16,27,1.150099631322905,35
16,28,1.1410544246876726,33
16,29,1.1413150652580746,35
16,30,1.1533841731759176,33
16,31,1.153370205454125,33
16,32,1.1461542799434987,33
16,33,1.1387307647105158,33
16,34,1.1482682391431638,31
16,35,1.1429360941520001,31
16,36,1.1467048320170465,31
16,37,1.1653454148635203,31
16,38,1.1465684419267455,31
