timestamp,signal,label,barrier_touched,days_to_barrier,return_at_barrier
2022-09-15,-1,1.0,time,5.0,-0.0432
2022-09-16,-1,1.0,time,5.0,-0.064
2022-09-17,-1,1.0,lower,4.0,-0.0824
2022-09-18,-1,1.0,time,5.0,-0.0075
2022-09-19,-1,1.0,time,5.0,-0.0327
2022-09-20,-1,1.0,time,5.0,-0.0032
2022-09-21,-1,0.0,time,5.0,0.036
2022-09-22,-1,1.0,time,5.0,-0.018
2022-09-23,-1,0.0,time,5.0,0.0079
2022-09-24,-1,0.0,time,5.0,0.0324
2022-09-25,-1,0.0,time,5.0,0.0349
2022-09-26,-1,0.0,time,5.0,0.0049
2022-09-27,-1,1.0,time,5.0,-0.0027
2022-09-28,-1,0.0,time,5.0,0.009
2022-09-29,-1,0.0,time,5.0,0.0392
2022-09-30,-1,0.0,time,5.0,0.0346
2022-10-01,-1,0.0,upper,3.0,0.052
2022-10-02,-1,0.0,upper,2.0,0.065
2022-10-03,-1,1.0,time,5.0,-0.0104
2022-10-04,-1,1.0,time,5.0,-0.0451
2022-10-05,-1,1.0,lower,5.0,-0.0519
2022-10-06,-1,1.0,time,5.0,-0.0457
2022-10-07,-1,1.0,time,5.0,-0.0158
2022-10-08,-1,1.0,time,5.0,-0.0018
2022-10-09,-1,1.0,time,5.0,-0.0129
2022-10-10,-1,1.0,time,5.0,-0.0037
2022-10-11,-1,0.0,time,5.0,0.0112
2022-10-12,-1,0.0,time,5.0,0.0209
2022-10-13,-1,1.0,time,5.0,-0.0019
2022-10-14,-1,1.0,time,5.0,-0.0033
2022-10-15,-1,1.0,time,5.0,-0.0022
2022-10-16,-1,1.0,time,5.0,-0.0052
2022-10-17,-1,1.0,time,5.0,-0.0183
2022-10-18,-1,0.0,time,5.0,0.0117
2022-10-19,-1,0.0,time,5.0,0.0095
2022-10-20,-1,0.0,upper,5.0,0.0544
2022-10-21,-1,0.0,upper,4.0,0.047
2022-10-22,-1,0.0,upper,3.0,0.0454
2022-10-23,-1,0.0,upper,3.0,0.0595
2022-10-24,-1,0.0,upper,1.0,0.0395
2022-10-25,-1,0.0,time,5.0,0.026
2022-10-26,-1,1.0,time,5.0,-0.0135
2022-10-27,-1,0.0,time,5.0,0.0104
2022-10-28,-1,1.0,time,5.0,-0.021
2022-10-29,-1,1.0,time,5.0,-0.0288
2022-10-30,-1,0.0,time,5.0,0.0252
2022-10-31,-1,0.0,upper,5.0,0.0377
2022-11-01,-1,0.0,upper,4.0,0.038
2022-11-02,-1,0.0,upper,2.0,0.0478
2022-11-03,-1,0.0,upper,1.0,0.0454
2022-11-04,-1,1.0,lower,4.0,-0.1305
2022-11-05,-1,1.0,lower,3.0,-0.1368
2022-11-06,-1,1.0,lower,2.0,-0.1189
2022-11-07,-1,1.0,lower,1.0,-0.1041
2022-11-08,-1,1.0,lower,1.0,-0.1648
2022-11-09,-1,0.0,time,5.0,0.0558
2022-11-10,1,0.0,time,5.0,-0.0409
2022-11-11,1,0.0,time,5.0,-0.0231
2022-11-12,1,0.0,time,5.0,-0.0048
2022-11-13,1,1.0,time,5.0,0.0219
2022-11-14,1,1.0,time,5.0,0.004
2022-11-15,1,0.0,time,5.0,-0.0353
2022-11-16,1,0.0,time,5.0,-0.0539
2022-11-17,1,0.0,time,5.0,-0.0332
2022-11-18,1,0.0,time,5.0,-0.0059
2022-11-19,1,0.0,time,5.0,-0.007
2022-11-20,1,1.0,time,5.0,0.0134
2022-11-21,1,1.0,time,5.0,0.0398
2022-11-22,1,1.0,time,5.0,0.0176
2022-11-23,1,0.0,time,5.0,-0.0235
2022-11-24,1,0.0,time,5.0,-0.0093
2022-11-25,1,1.0,time,5.0,0.0393
2022-11-26,1,1.0,time,5.0,0.0309
2022-11-27,1,1.0,time,5.0,0.0373
2022-11-28,1,1.0,time,5.0,0.0423
2022-11-29,1,1.0,time,5.0,0.0422
2022-11-30,1,0.0,time,5.0,-0.0125
2022-12-01,1,1.0,time,5.0,0.0066
2022-12-02,1,0.0,time,5.0,-0.0138
2022-12-03,1,1.0,time,5.0,0.0182
2022-12-04,1,0.0,time,5.0,-0.0
2022-12-05,1,1.0,time,5.0,0.0089
2022-12-06,1,1.0,time,5.0,0.0009
2022-12-07,1,1.0,time,5.0,0.0193
2022-12-08,1,1.0,time,5.0,0.0314
2022-12-09,1,1.0,time,5.0,0.0377
2022-12-10,1,1.0,time,5.0,0.0124
2022-12-11,1,0.0,time,5.0,-0.0283
2022-12-12,1,0.0,time,5.0,-0.022
2022-12-13,1,0.0,lower,3.0,-0.0675
2022-12-14,-1,1.0,lower,2.0,-0.0689
2022-12-15,-1,1.0,lower,4.0,-0.0543
2022-12-16,-1,0.0,time,5.0,0.0115
2022-12-17,-1,0.0,time,5.0,0.0011
2022-12-18,-1,0.0,time,5.0,0.0029
2022-12-19,-1,0.0,time,5.0,0.0256
2022-12-20,-1,1.0,time,5.0,-0.0034
2022-12-21,-1,0.0,time,5.0,0.0049
2022-12-22,-1,1.0,time,5.0,-0.0073
2022-12-23,-1,1.0,time,5.0,-0.0152
2022-12-24,-1,1.0,time,5.0,-0.0122
2022-12-25,-1,1.0,time,5.0,-0.0142
2022-12-26,-1,1.0,time,5.0,-0.0215
2022-12-27,-1,1.0,time,5.0,-0.0052
2022-12-28,-1,0.0,time,5.0,0.0082
2022-12-29,-1,0.0,time,5.0,0.002
2022-12-30,-1,0.0,time,5.0,0.015
2022-12-31,-1,0.0,time,5.0,0.0175
2023-01-01,-1,0.0,time,5.0,0.0205
2023-01-02,-1,0.0,time,5.0,0.0164
2023-01-03,-1,0.0,time,5.0,0.0235
2023-01-04,-1,0.0,time,5.0,0.02
2023-01-05,-1,0.0,upper,5.0,0.0353
2023-01-06,-1,0.0,upper,4.0,0.0277
2023-01-07,-1,0.0,upper,3.0,0.0283
2023-01-08,-1,0.0,upper,2.0,0.021
2023-01-09,-1,0.0,upper,2.0,0.0456
2023-01-10,-1,0.0,upper,1.0,0.0316
2023-01-11,-1,0.0,upper,1.0,0.0472
2023-01-12,-1,0.0,upper,1.0,0.0554
2023-01-13,-1,0.0,upper,1.0,0.0526
2023-01-14,-1,0.0,time,5.0,0.003
2023-01-15,-1,0.0,upper,5.0,0.0851
2023-01-16,-1,0.0,upper,4.0,0.0698
2023-01-17,-1,0.0,upper,3.0,0.0707
2023-01-18,-1,0.0,upper,2.0,0.0912
2023-01-19,-1,0.0,upper,1.0,0.0742
2023-01-20,-1,0.0,time,5.0,0.0207
2023-01-21,-1,0.0,time,5.0,0.0111
2023-01-22,-1,0.0,time,5.0,0.0151
2023-01-23,-1,0.0,time,5.0,0.0016
2023-01-24,-1,0.0,time,5.0,0.0512
2023-01-25,-1,1.0,time,5.0,-0.0148
2023-01-26,-1,0.0,time,5.0,0.0049
2023-01-27,-1,0.0,time,5.0,0.0274
2023-01-28,-1,0.0,time,5.0,0.0223
2023-01-29,-1,1.0,time,5.0,-0.0146
2023-01-30,-1,0.0,time,5.0,0.0217
2023-01-31,-1,1.0,time,5.0,-0.0083
2023-02-01,-1,1.0,time,5.0,-0.0404
2023-02-02,-1,1.0,time,5.0,-0.0105
2023-02-03,-1,1.0,time,5.0,-0.0217
2023-02-04,-1,1.0,lower,5.0,-0.0673
2023-02-05,-1,1.0,lower,4.0,-0.0503
2023-02-06,-1,1.0,lower,3.0,-0.0433
2023-02-07,-1,1.0,lower,2.0,-0.0654
2023-02-08,-1,1.0,lower,1.0,-0.0504
2023-02-09,-1,0.0,time,5.0,0.0181
2023-02-10,-1,0.0,upper,5.0,0.1167
2023-02-11,1,1.0,upper,4.0,0.1048
2023-02-12,1,1.0,upper,3.0,0.1098
2023-02-13,1,1.0,upper,2.0,0.1085
2023-02-14,1,1.0,upper,1.0,0.0898
2023-02-15,1,1.0,time,5.0,0.0195
2023-02-16,1,1.0,time,5.0,0.0274
2023-02-17,1,0.0,time,5.0,-0.0198
2023-02-18,1,0.0,time,5.0,-0.0285
2023-02-19,1,0.0,time,5.0,-0.0469
2023-02-20,1,0.0,lower,4.0,-0.0674
2023-02-21,1,0.0,time,5.0,-0.0365
2023-02-22,1,0.0,time,5.0,-0.0264
2023-02-23,1,0.0,time,5.0,-0.0338
2023-02-24,1,1.0,time,5.0,0.0197
2023-02-25,1,1.0,time,5.0,0.0132
2023-02-26,1,0.0,lower,5.0,-0.0512
2023-02-27,1,0.0,lower,4.0,-0.0502
2023-02-28,1,0.0,time,5.0,-0.0322
2023-03-01,1,0.0,lower,2.0,-0.0551
2023-03-02,1,0.0,lower,1.0,-0.0479
2023-03-03,1,0.0,time,5.0,-0.0297
2023-03-04,1,0.0,lower,5.0,-0.0924
2023-03-05,1,0.0,lower,4.0,-0.0957
2023-03-06,1,0.0,lower,3.0,-0.0954
2023-03-07,1,0.0,lower,2.0,-0.0865
2023-03-08,1,0.0,lower,1.0,-0.0636
2023-03-09,1,1.0,upper,3.0,0.081
2023-03-10,1,1.0,upper,2.0,0.09
2023-03-11,1,1.0,upper,1.0,0.0739
2023-03-12,1,1.0,upper,1.0,0.0901
2023-03-13,1,1.0,upper,4.0,0.1275
2023-03-14,1,1.0,upper,3.0,0.1038
2023-03-15,1,1.0,upper,2.0,0.1155
2023-03-16,1,1.0,upper,1.0,0.0877
2023-03-17,1,0.0,time,5.0,-0.0007
2023-03-18,-1,0.0,time,5.0,0.0487
2023-03-19,-1,1.0,time,5.0,-0.0212
2023-03-20,-1,1.0,time,5.0,-0.0093
2023-03-21,-1,1.0,time,5.0,-0.0077
2023-03-22,-1,1.0,time,5.0,-0.0098
2023-03-23,-1,1.0,time,5.0,-0.0419
2023-03-24,-1,0.0,time,5.0,0.0286
2023-03-25,-1,0.0,time,5.0,0.0133
2023-03-26,-1,0.0,time,5.0,0.0166
2023-03-27,-1,0.0,time,5.0,0.0473
2023-03-28,-1,0.0,time,5.0,0.0341
2023-03-29,-1,1.0,time,5.0,-0.0206
2023-03-30,-1,0.0,time,5.0,0.0048
2023-03-31,-1,1.0,time,5.0,-0.0113
2023-04-01,-1,1.0,time,5.0,-0.0161
2023-04-02,-1,1.0,time,5.0,-0.0108
2023-04-03,-1,0.0,time,5.0,0.0055
2023-04-04,-1,0.0,time,5.0,0.0062
2023-04-05,-1,0.0,upper,5.0,0.0505
2023-04-06,-1,0.0,upper,4.0,0.056
2023-04-07,-1,0.0,upper,3.0,0.0599
2023-04-08,-1,0.0,upper,2.0,0.0587
2023-04-09,-1,0.0,upper,1.0,0.0451
2023-04-10,-1,0.0,time,5.0,0.0218
2023-04-11,-1,0.0,time,5.0,0.0015
2023-04-12,-1,1.0,time,5.0,-0.0147
2023-04-13,-1,1.0,time,5.0,-0.0013
2023-04-14,-1,1.0,lower,5.0,-0.0552
2023-04-15,-1,1.0,lower,4.0,-0.05
2023-04-16,-1,1.0,lower,3.0,-0.0498
2023-04-17,-1,1.0,lower,3.0,-0.042
2023-04-18,-1,1.0,lower,1.0,-0.0518
2023-04-19,-1,1.0,lower,2.0,-0.0546
2023-04-20,-1,0.0,time,5.0,0.0034
2023-04-21,-1,0.0,time,5.0,0.0378
2023-04-22,-1,0.0,upper,5.0,0.0566
2023-04-23,-1,0.0,upper,4.0,0.0658
2023-04-24,-1,0.0,upper,3.0,0.0692
2023-04-25,-1,0.0,time,5.0,0.035
2023-04-26,-1,1.0,time,5.0,-0.008
2023-04-27,-1,1.0,time,5.0,-0.0286
2023-04-28,-1,1.0,time,5.0,-0.0121
2023-04-29,-1,1.0,time,5.0,-0.0128
2023-04-30,-1,0.0,time,5.0,0.0054
2023-05-01,-1,0.0,time,5.0,0.0267
2023-05-02,-1,1.0,time,5.0,-0.0015
2023-05-03,-1,1.0,time,5.0,-0.0456
2023-05-04,-1,1.0,time,5.0,-0.0439
2023-05-05,-1,1.0,lower,3.0,-0.0637
2023-05-06,-1,1.0,lower,5.0,-0.0667
2023-05-07,-1,1.0,lower,4.0,-0.057
2023-05-08,-1,1.0,time,5.0,-0.033
2023-05-09,-1,1.0,time,5.0,-0.0255
2023-05-10,-1,1.0,time,5.0,-0.015
2023-05-11,-1,1.0,time,5.0,-0.0001
2023-05-12,-1,0.0,time,5.0,0.0222
2023-05-13,-1,0.0,time,5.0,0.0017
2023-05-14,-1,1.0,time,5.0,-0.001
2023-05-15,-1,1.0,time,5.0,-0.0049
2023-05-16,-1,1.0,time,5.0,-0.0093
2023-05-17,-1,1.0,time,5.0,-0.0192
2023-05-18,-1,0.0,time,5.0,0.0141
2023-05-19,-1,1.0,time,5.0,-0.0205
2023-05-20,-1,1.0,time,5.0,-0.0231
2023-05-21,-1,1.0,time,5.0,-0.0021
2023-05-22,-1,1.0,time,5.0,-0.0008
2023-05-23,-1,1.0,lower,1.0,-0.033
2023-05-24,-1,0.0,upper,4.0,0.0651
2023-05-25,-1,0.0,upper,3.0,0.0599
2023-05-26,-1,0.0,upper,2.0,0.0508
2023-05-27,-1,0.0,upper,1.0,0.0459
2023-05-28,-1,1.0,lower,4.0,-0.0468
2023-05-29,-1,1.0,time,5.0,-0.0247
2023-05-30,-1,1.0,time,5.0,-0.0203
2023-05-31,-1,1.0,lower,5.0,-0.0548
2023-06-01,-1,1.0,lower,4.0,-0.0392
2023-06-02,-1,1.0,lower,3.0,-0.0549
2023-06-03,-1,1.0,lower,2.0,-0.0488
2023-06-04,-1,1.0,lower,1.0,-0.0515
2023-06-05,-1,0.0,upper,1.0,0.0537
2023-06-06,1,0.0,time,5.0,-0.0489
2023-06-07,1,0.0,time,5.0,-0.0167
2023-06-08,1,0.0,time,5.0,-0.0243
2023-06-09,1,0.0,lower,5.0,-0.0528
2023-06-10,1,0.0,time,5.0,-0.0114
2023-06-11,1,1.0,time,5.0,0.0157
2023-06-12,1,1.0,time,5.0,0.0226
2023-06-13,1,1.0,time,5.0,0.0177
2023-06-14,1,1.0,upper,2.0,0.0474
2023-06-15,1,1.0,upper,4.0,0.0464
2023-06-16,1,1.0,upper,4.0,0.0734
2023-06-17,1,1.0,upper,3.0,0.0668
2023-06-18,1,1.0,upper,2.0,0.0731
2023-06-19,1,1.0,upper,1.0,0.0563
2023-06-20,1,1.0,upper,1.0,0.0606
2023-06-21,1,1.0,time,5.0,0.0061
2023-06-22,1,1.0,time,5.0,0.025
2023-06-23,1,0.0,time,5.0,-0.018
2023-06-24,-1,1.0,time,5.0,-0.0023
2023-06-25,-1,0.0,time,5.0,0.0009
2023-06-26,-1,0.0,time,5.0,0.0098
2023-06-27,-1,1.0,time,5.0,-0.004
