timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,hilo_high_ma,hilo_low_ma,signal,enter_long,enter_short,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2022-09-09,19315.37,21360.0,21566.0,19315.23,42487059054.97593,408976281844.7646,0.1002353033195873,20328.894223383213,19650.83348197184,1,True,False,-0.1012353033195873,1,0.001,-0.1002353033195873,0.0,time,5.0,-0.0531,0.0399
2022-09-10,21373.0,21707.0,21753.0,21182.0,35941349745.24438,415974687298.0947,0.01611477508163107,20158.92137870657,19449.492785577473,1,False,False,0.01611477508163107,0,0.0,0.01611477508163107,0.0,lower,5.0,-0.0969,0.0381
2022-09-11,21715.0,21740.0,21785.0,21414.0,31266252145.35619,416073628622.09485,0.00151909251943822,20004.413102965256,19371.29622846198,1,False,False,0.00151909251943822,0,0.0,0.00151909251943822,0.0,lower,2.0,-0.0742,0.0362
2022-09-12,21742.0,22340.0,22448.0,21578.0,44006486689.44507,427473787888.3761,0.02722491194799125,20316.730482372204,19360.082982769585,1,False,False,0.02722491194799125,0,0.0,0.02722491194799125,0.0,lower,1.0,-0.1014,0.0351
2022-09-13,22339.0,20185.0,22654.0,20071.0,46489890914.82466,386529657258.8565,-0.10143903933615048,20603.984385897766,19724.46638621567,1,False,False,-0.10143903933615048,0,0.0,-0.10143903933615048,0.0,time,5.0,-0.0378,0.0468
2022-09-14,20178.0,20256.0,20418.0,19801.17,35789015870.392235,387486232249.80023,0.0035112916568615453,20840.187508718212,20062.373108972537,1,False,False,0.0035112916568615453,0,0.0,0.0035112916568615453,0.0,time,5.0,-0.0344,0.0446
2022-09-15,20239.0,19702.17,20338.0,19620.13,33715957206.68328,377719382182.44714,-0.027722263999876335,21161.750006974573,20365.498487178033,-1,False,True,-0.028722263999876336,1,0.001,-0.027722263999876335,0.0,time,5.0,-0.0432,0.0431
2022-09-16,19706.12,19764.41,19879.28,19414.75,30187737709.58007,377988702161.6817,0.0031540635949485196,21460.20000557966,20306.598789742427,-1,False,False,-0.0031540635949485196,0,0.0,-0.0031540635949485196,0.0,time,5.0,-0.064,0.041
2022-09-17,19763.99,20132.0,20189.0,19763.99,23394494073.784782,385486747327.04944,0.01842774335727571,21251.76000446373,20205.513031793944,-1,False,False,-0.01842774335727571,0,0.0,-0.01842774335727571,0.0,lower,4.0,-0.0824,0.0396
2022-09-18,20130.0,19437.16,20130.0,19361.11,28689764413.699097,372598380208.27094,-0.03512389108906156,21069.008003570983,20088.436425435157,-1,False,False,0.03512389108906156,0,0.0,0.03512389108906156,0.0,time,5.0,-0.0075,0.039
2022-09-19,19440.93,19570.39,19612.26,18421.2,39507938864.87854,374524246937.4287,0.006831011846295266,20831.062402856787,19953.699140348126,-1,False,False,-0.006831011846295266,0,0.0,-0.006831011846295266,0.0,time,5.0,-0.0327,0.0373
2022-09-20,19546.41,18869.93,19601.4,18830.92,33890591849.676514,361980678159.1343,-0.03644805988971381,20702.649922285433,19915.757312278503,-1,False,False,0.03644805988971381,0,0.0,0.03644805988971381,0.0,time,5.0,-0.0032,0.0368
2022-09-21,18874.85,18539.64,19721.93,18262.09,41059997264.96848,355194467885.9514,-0.017658507308174146,20588.119937828345,19804.827849822803,-1,False,False,0.017658507308174146,0,0.0,0.017658507308174146,1.0,time,5.0,0.036,0.0351
2022-09-22,18527.8,19464.32,19464.32,18422.41,37660914389.8923,372075639498.16974,0.04867190348091941,20392.94795026268,19528.10227985824,-1,False,False,-0.04867190348091941,0,0.0,-0.04867190348091941,0.0,time,5.0,-0.018,0.0375
2022-09-23,19447.84,19291.9,19475.03,18641.21,35506139423.901344,370913140447.51636,-0.008897727256836987,20234.638360210145,19388.665823886593,-1,False,False,0.008897727256836987,0,0.0,0.008897727256836987,1.0,time,5.0,0.0079,0.0357
2022-09-24,19309.22,18939.97,19316.53,18874.73,24644354421.61794,363168779956.3335,-0.0184108148901775,20132.096688168116,19163.350659109274,-1,False,False,0.0184108148901775,0,0.0,0.0184108148901775,1.0,time,5.0,0.0324,0.0343
2022-09-25,18936.7,18809.41,19142.43,18747.85,21516374222.675316,360256894978.40894,-0.006917227280881889,19998.541350534495,19015.16252728742,-1,False,False,0.006917227280881889,0,0.0,0.006917227280881889,1.0,time,5.0,0.0349,0.0326
2022-09-26,18787.31,19219.73,19274.62,18708.63,42560193944.41844,367613056759.2221,0.021580079050186395,19893.839080427595,18940.372021829935,-1,False,False,-0.021580079050186395,0,0.0,-0.021580079050186395,1.0,time,5.0,0.0049,0.032
2022-09-27,19200.81,19116.33,20339.0,18902.66,52482615483.86207,366383164263.7157,-0.0053944119840236854,19778.377264342078,18927.243617463948,-1,False,False,0.0053944119840236854,0,0.0,0.0053944119840236854,0.0,time,5.0,-0.0027,0.0305
2022-09-28,19114.9,19444.79,19704.08,18482.46,47494258189.70422,372892084645.0075,0.017036224265311,19651.187811473665,18891.36489397116,-1,False,False,-0.017036224265311,0,0.0,-0.017036224265311,1.0,time,5.0,0.009,0.0296
2022-09-29,19443.69,19563.77,19625.8,18963.35,37537716230.48356,374830625219.6003,0.0061002184629911195,19575.87424917893,18854.81791517693,-1,False,False,-0.0061002184629911195,0,0.0,-0.0061002184629911195,1.0,time,5.0,0.0392,0.0282
2022-09-30,19563.78,19476.93,20184.0,19251.33,37848666330.67224,373222100680.7475,-0.004448698062289074,19728.499399343145,18864.386332141545,-1,False,False,0.004448698062289074,0,0.0,0.004448698062289074,1.0,time,5.0,0.0346,0.0269
2022-10-01,19467.93,19314.46,19488.42,19238.33,15943514602.722155,370204708063.3375,-0.008376650077181814,19723.61551947452,18788.001065713237,-1,False,False,0.008376650077181814,0,0.0,0.008376650077181814,1.0,upper,3.0,0.052,0.0257
2022-10-02,19316.66,19065.15,19377.21,18928.73,17859684587.64641,366195863790.6755,-0.012991977082286672,19704.052415579616,18823.070852570592,-1,False,False,0.012991977082286672,0,0.0,0.012991977082286672,1.0,upper,2.0,0.065,0.0247
