timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,hilo_high_ma,hilo_low_ma,signal,enter_long,exit_long,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2023-11-06,35039.0,35031.0,35276.0,34779.0,12717348149.539808,683644463783.0627,-0.000884539169994861,34377.80181401216,33476.51701244619,1,False,False,-0.000884539169994861,0,0.0,-0.000884539169994861,1.0,upper,3.0,0.0484,0.0187
2023-11-07,35058.0,35437.0,35871.0,34546.0,18582602380.374496,691660755958.351,0.011523088279302747,34576.8949054772,33619.11474412003,1,False,False,0.011523088279302747,0,0.0,0.011523088279302747,1.0,upper,2.0,0.0369,0.0179
2023-11-08,35440.0,35795.0,35896.0,35187.0,14717120833.223528,699187515031.6934,0.010051746807158004,34752.77558474691,33828.166111570696,1,False,False,0.010051746807158004,0,0.0,0.010051746807158004,1.0,upper,2.0,0.0424,0.017
2023-11-09,35648.0,36768.0,37936.0,35606.0,38190964507.15763,717022051490.4104,0.02681968281819692,35177.20550678066,34065.210630027934,1,False,False,0.02681968281819692,0,0.0,0.02681968281819692,0.0,time,5.0,-0.0338,0.0173
2023-11-10,36698.0,37344.0,37472.0,36366.0,23152060053.421646,730760729870.4996,0.015544354437800379,35483.17810587657,34371.982546024214,1,False,False,0.015544354437800379,0,0.0,0.015544354437800379,0.0,lower,4.0,-0.0494,0.0166
2023-11-11,37319.0,37123.0,37404.0,36822.0,12033297219.971031,720323851790.6948,-0.005935532486305057,35739.287691759695,34698.65153988765,1,False,False,-0.005935532486305057,0,0.0,-0.005935532486305057,0.0,lower,3.0,-0.0434,0.0164
2023-11-12,37152.0,37068.0,37231.0,36862.0,8831221164.408867,725016899532.0363,-0.0014826598933954614,35938.18266619174,34987.098001235965,1,False,False,-0.0014826598933954614,0,0.0,-0.0014826598933954614,0.0,lower,2.0,-0.042,0.0159
2023-11-13,37068.0,36549.0,37292.0,36437.0,18041088204.36723,714263437353.6985,-0.01410023768406489,36118.69164403284,35180.418267737834,1,False,False,-0.01410023768406489,0,0.0,-0.01410023768406489,1.0,upper,2.0,0.0364,0.0164
2023-11-14,36499.0,35545.0,36748.0,35110.0,22330924588.059715,694845286838.959,-0.02785432665893369,36202.59942482846,35171.02916537279,1,False,False,-0.02785432665893369,0,0.0,-0.02785432665893369,1.0,upper,1.0,0.0643,0.0185
2023-11-15,35541.0,37904.0,37904.0,35389.0,28479730068.295124,739215831747.2646,0.0642571480349833,36429.452834851334,35200.09194332309,1,False,False,0.0642571480349833,0,0.0,0.0642571480349833,0.0,time,5.0,-0.011,0.0257
2023-11-16,37904.0,36202.0,37904.0,35579.0,12023334732.149555,707488742969.5619,-0.04594228149206851,36626.05912353782,35250.613017546675,1,False,False,-0.04594228149206851,0,0.0,-0.04594228149206851,0.0,time,5.0,-0.0066,0.0293
2023-11-17,36163.0,36528.0,36673.0,35946.0,22683923623.963726,714651953916.8749,0.008964723863078493,36632.31790706611,35343.33128187378,1,False,False,0.008964723863078493,0,0.0,0.008964723863078493,1.0,time,5.0,0.0253,0.028
2023-11-18,36619.0,36582.0,36826.0,36264.0,8877846889.346693,715117663450.342,0.0014772263662943138,36658.142186123965,35466.087110957276,1,False,False,0.0014772263662943138,0,0.0,0.0014772263662943138,1.0,time,5.0,0.0192,0.0266
2023-11-19,36588.0,37414.0,37516.0,36412.0,12599067947.734495,732521837352.2426,0.022488649772978816,36772.5232279741,35592.20882949631,1,False,False,0.022488649772978816,0,0.0,0.022488649772978816,1.0,time,5.0,0.0086,0.026
2023-11-20,37388.0,37489.0,37726.0,36942.0,16005284775.311718,732673492672.5168,0.002002590685681773,36899.65346424422,35772.18098556347,1,False,False,0.002002590685681773,0,0.0,0.002002590685681773,1.0,time,5.0,0.0085,0.0247
2023-11-21,37479.0,35965.0,37647.0,35945.0,18891503534.641026,702705880301.6978,-0.04150131329307494,36999.299669011656,35795.22352082167,1,False,False,-0.04150131329307494,0,0.0,-0.04150131329307494,1.0,time,5.0,0.0416,0.0273
2023-11-22,35788.0,37465.0,37795.0,35788.0,25245202377.321384,732259726682.3702,0.04086092049695443,37105.39304647677,35794.26038471212,1,False,False,0.04086092049695443,0,0.0,0.04086092049695443,0.0,time,5.0,-0.0058,0.0287
2023-11-23,37427.0,37293.0,37643.0,36972.0,11956046626.60703,728816537112.472,-0.004601522338586015,37177.0739736132,35951.29233341717,1,False,False,-0.004601522338586015,0,0.0,-0.004601522338586015,1.0,time,5.0,0.0136,0.0274
2023-11-24,37302.0,37739.0,38349.0,37264.0,22996708651.54232,737614054534.8141,0.01188840102634161,37333.33077713144,36126.32002229488,1,False,False,0.01188840102634161,0,0.0,0.01188840102634161,1.0,time,5.0,0.0019,0.0262
2023-11-25,37731.0,37810.0,37883.0,37617.0,7505379785.011788,739536714717.2401,0.001879575398811952,37406.62000684725,36325.077352655564,1,False,False,0.001879575398811952,0,0.0,0.001879575398811952,0.0,time,5.0,-0.0026,0.025
