,Date,Open,High,Low,Close,Volume,dxy,creditSpreads,realGDP,kalman_close,kalman_smooth,close_kalman_diff,close_slope,kalman_smooth_slope,RSI14,log,log_return,log_return_90,log_return_30,log_return_7,ln_volume,lnrange,lncreditSpreads,lnrealGDP,ln_atr,hidden_state,state,unfav,signal,position,open_return,strategy_return,trade,cum_strategy_return,cum_buy_hold_return
992,2024-09-26,0.324842,0.351642,0.32247,0.346284,77640.06572954508,100.55999755859376,3.14,23400.294,-0.033251224150738,0.008704355480087425,-0.6441597920497267,0.058203000000000005,-0.10815475138598778,0.3551839850524655,0.43458966875348815,-0.04110828456608294,-0.7826956405359453,-0.07566585812848588,0.8129702321514362,-0.7298097828264642,-0.04062623077604599,1.144222799920162,10.06050386536943,0.4218034509220909,2,Flat,0.9999562870601997,Short,-1,0.06674937354159871,-0.06674937354159871,0,2.1419003417936158,-0.14670032011819722
993,2024-09-27,0.346525,0.355452,0.341556,0.342282,81684.67117173201,100.41999816894533,3.14,23400.294,-0.029172034869055265,0.009071914581872542,-0.68624790523641,0.04596799999999995,-0.06806216453226169,0.3001347395382055,0.4221604683511398,0.013153183007303924,-0.7786575718692118,-0.14789725261914832,0.639031482817781,-0.6826540802788164,-0.5792315988752738,1.144222799920162,10.06050386536943,0.4229449147191177,2,Flat,0.9988247811718424,Flat,0,-0.012227112040978372,-0.0,1,2.1419003417936158,-0.15713371090864303
994,2024-09-28,0.342288,0.363224,0.324115,0.362511,223625.7520077281,100.41999816894533,3.14,23400.294,-0.01851942308887343,0.009860279757730175,-0.4254451865668383,0.06673800000000002,-0.03196858873272531,0.5626609873376428,0.48355630521929965,-0.03786171595797483,-0.6963667220022577,-0.031946682699683225,0.8979461690140469,0.2525228871726606,0.27427051319492735,1.144222799920162,10.06050386536943,0.4816503477301824,2,Flat,0.9905183045470581,Flat,0,0.05797164960501089,0.0,0,2.1419003417936158,-0.10827136173356311
995,2024-09-29,0.362131,0.373891,0.359908,0.37107,71403.23492505774,100.41999816894533,3.14,23400.294,-0.005934710647950797,0.01096713837382781,-0.31190856934870875,0.05932599999999999,-0.0011051282826838918,0.6695663552168748,0.5085080804707374,-0.013698279771398135,-0.6541364326963359,0.12707940167588,0.7701034904690204,-0.8075692251046972,-0.5995505450210897,1.144222799920162,10.06050386536943,0.47620738673513574,2,Flat,0.9546685164920307,Flat,0,0.024988194879753456,0.0,0,2.1419003417936158,-0.08598867274070421
996,2024-09-30,0.37118,0.37118,0.34017,0.341963,80909.27130433256,100.77999877929688,3.03,23400.294,-0.004563780829067282,0.012273376053233184,-0.670110679719704,-0.05767699999999998,0.02360709743609241,0.23705244069832418,0.4211634896689848,0.06963980890441464,-0.7471452937819147,0.009234194145739602,-0.6723246710427848,-0.6915107938913325,-0.033270484115369245,1.1085626195212777,10.06050386536943,0.5145749942473005,2,Flat,0.6480661399627816,Flat,0,-0.07885661942992628,-0.0,0,2.1419003417936158,-0.15806451612903227
997,2024-10-01,0.34191,0.347387,0.318412,0.321411,106829.95230209296,101.19000244140624,3.07,23530.909,-0.010395870439897368,0.013777873545082916,-0.38220293497147895,-0.042491999999999974,0.04463073000220136,-0.03374047956073176,0.3548897554225258,0.05015883744382754,-0.7889886825843837,-0.09009877338948051,-0.5338156948191649,-0.43345001599591454,-0.03498038638997528,1.1216775615991057,10.066070112509442,0.528107633776993,1,Long,0.13109575430635523,Flat,0,-0.06125588605188503,-0.0,0,2.1419003417936158,-0.209638020192071
998,2024-10-02,0.320966,0.334961,0.313028,0.313099,57680.405377217554,101.68000030517578,3.06,23530.909,-0.018533611794846278,0.015556006063077414,-0.26146784001558243,-0.011426999999999965,0.06374881811241744,-0.13918166158886272,0.3268742347613785,0.022738795916330917,-0.7627160617081106,-0.19515085973335203,-0.1478493573347977,-1.0057513929423456,-0.2582823639810352,1.1184149159642893,10.066070112509442,0.4384254862905282,1,Long,0.009549212707589239,Long,1,-0.02377821949988468,-0.02377821949988468,1,2.0671915458196843,-0.22843142083230739
999,2024-10-03,0.313334,0.317405,0.293078,0.302429,152293.23429645543,101.98999786376952,3.04,23530.909,-0.02956914423723757,0.017709736059891127,-0.10695487555378075,-0.04385499999999998,0.08169205954667284,-0.27425354275803143,0.2898004518589852,0.028095426898108424,-0.7378542345719246,-0.16964279312813177,-0.5829616410271747,-0.10420491401722844,-0.11974546353953247,1.1118575154181303,10.066070112509442,0.44869266981129863,1,Long,0.00011823741284444633,Long,1,-0.035176520901019304,-0.035176520901019304,0,1.9592984183007287,-0.2555725190839695
1000,2024-10-04,0.302312,0.308343,0.299744,0.301837,50803.63663683333,102.5199966430664,2.89,23530.909,-0.03975864891960762,0.020374758256204453,-0.08903617475233452,-0.04044499999999995,0.1000505361310336,-0.28196101068145285,0.28770537250462735,0.005781656412629845,-0.6796267563957944,-0.177602034423286,-0.540725433904772,-1.1236338628991493,-0.7128837112459184,1.0612565021243408,10.066070112509442,0.42751513891721393,1,Long,8.778275299992089e-07,Long,1,-0.0015646087485776672,-0.0015646087485776672,0,1.9546682741058032,-0.2567372568332924
1001,2024-10-05,0.301839,0.302913,0.29251,0.29685,20551.914043973964,102.5199966430664,2.89,23530.909,-0.0506950662256129,0.023683128533285594,-0.008368227170275582,-0.06566100000000002,0.12018729251831374,-0.3501365528513953,0.26989158056291357,0.015483388348135436,-0.7284164450778068,-0.10957330838110137,-0.8644602027318693,-1.9640089789185482,-0.6360810832958299,1.0612565021243408,10.066070112509442,0.4339541953556314,1,Long,2.115484676323831e-09,Long,1,-0.015988656204135254,-0.015988656204135254,0,1.90742709887386,-0.26862102930312737
