timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,signal,label,bitcoin_log_return_1,primary_signal,momentum_3,momentum_5,momentum_10,sma_5,sma_10,price_vs_sma5,price_vs_sma10,volatility_5,volume_sma_5,volume_ratio,signal_x_momentum3,signal_x_momentum5,meta_confidence,refined_by_meta,strategy_returns,position_change,transaction_cost,strategy_returns_gross,barrier_touched,days_to_barrier,return_at_barrier,volatility
2022-07-18,20803.0,22395.0,22459.0,20803.0,58636734705.48306,425756736660.6174,1,1.0,0.07273155196699921,-1.0,0.07694157249338773,0.10729295426452401,0.024520792350976706,21156.4,20780.621000000003,0.05854493203002398,0.07768675440450012,0.03377386591832773,41115658554.556435,1.4261412018410913,-0.07694157249338773,-0.10729295426452401,0.7600283911508114,1,0.07273155196699921,0,0.0,0.07273155196699921,time,5.0,0.0049,0.0366
2022-07-19,22441.0,23367.0,23655.0,21746.0,57338223361.51413,445889013251.1064,0,,0.042487050946657695,-1.0,0.1025810409097343,0.1356986634264885,0.0823066234367762,21714.8,20958.321000000004,0.07608635584946666,0.11492709745212881,0.035046247060982735,46836820519.52527,1.2242125474253969,-0.1025810409097343,-0.1356986634264885,0.9131632971839158,1,0.041487050946657694,1,0.001,0.042487050946657695,,,,
2022-07-20,23359.0,23313.0,24189.0,22993.0,40775718993.79776,446130012149.91077,0,,-0.002313625710706295,-1.0,0.11952554744525545,0.12108679971146907,0.11759348034515815,22218.4,21203.621000000003,0.049265473661469716,0.0994820177176341,0.036921913747807754,45683514643.41835,0.8925696569555062,-0.11952554744525545,-0.12108679971146907,0.8819035346097203,1,-0.0,0,0.0,-0.0,,,,
2022-07-21,23217.0,23155.0,23366.0,22465.0,63224249257.511284,442379611364.02734,0,,-0.00680040496249961,-1.0,0.03393614646126375,0.09257773793233626,0.15783857465096074,22610.8,21519.274,0.02406814442655736,0.07601213684067587,0.039446701212197885,49918144155.96109,1.2665584894337707,-0.03393614646126375,-0.09257773793233626,0.9315169366715759,1,-0.0,0,0.0,-0.0,,,,
2022-07-22,23142.0,22697.0,23668.0,22620.0,40304373301.41499,433485926857.3929,0,,-0.019977982769382643,-1.0,-0.028672914794368176,0.08994429504417978,0.17292672011509636,22985.4,21853.9,-0.012547095112549811,0.03857892641588001,0.03999565457004348,52055859923.944244,0.7742523773558124,0.028672914794368176,-0.08994429504417978,0.8952022301498523,1,-0.0,0,0.0,-0.0,,,,
2022-07-23,22700.0,22506.0,22976.0,22048.0,42519262113.1533,429803379587.55133,1,1.0,-0.008450816835527288,-1.0,-0.03461587955218115,0.004956463496316177,0.11278121137206432,23007.6,22082.0,-0.021801491681009644,0.019201159315279437,0.024441862525410724,48832365405.47829,0.8707188717993835,0.03461587955218115,-0.004956463496316177,0.7512438705782112,1,-0.001,1,0.001,-0.0,time,5.0,0.0568,0.0316
2022-07-24,22484.0,22614.0,22967.0,22334.0,33108916659.05373,433819662321.5266,0,,0.004787243185248051,-1.0,-0.023364284171885075,-0.032224932597252565,0.09910085054678008,22857.0,22285.9,-0.01063131644572779,0.014722313211492422,0.009018116969762714,43986504064.98621,0.7527062530393004,0.023364284171885075,0.032224932597252565,0.7634742159482175,1,0.0037872431852480513,1,0.001,0.004787243185248051,,,,
2022-07-25,22606.0,21330.0,22628.0,21330.0,42667548128.932236,407480099599.8142,1,1.0,-0.05845465102979416,-1.0,-0.06022822399436045,-0.08505983785870541,0.025727338302476532,22460.4,22339.4,-0.05032857829780424,-0.045184740861437755,0.023678671768730727,44364869892.01311,0.9617417617314722,0.06022822399436045,0.08505983785870541,0.8631664703631383,1,-0.001,1,0.001,-0.0,upper,2.0,0.0714,0.0342
2022-07-26,21319.0,21236.0,21321.0,20772.0,53995620035.18145,405692421501.52716,-1,1.0,-0.004416677761834127,-1.0,-0.056429396605349735,-0.08287626862448716,0.0020289718303212467,22076.6,22343.7,-0.03807651540545187,-0.04957549555355656,0.02396626728049274,42519144047.54714,1.26991314723553,0.056429396605349735,0.08287626862448716,0.6852727731394712,0,-0.005416677761834127,1,0.001,-0.004416677761834127,upper,1.0,0.0758,0.0325
2022-07-27,21223.0,22909.0,23001.0,21071.0,54498281944.45157,437193517021.8447,1,1.0,0.07583199172978582,-1.0,0.01304501636154587,0.009340441468035365,0.10012485593545906,22119.0,22552.2,0.03571590035715899,0.01582107288867607,0.04874559336875259,45357925776.15446,1.2015161851405114,-0.01304501636154587,-0.009340441468035365,0.706731545206217,1,-0.07683199172978582,1,0.001,-0.07583199172978582,time,5.0,0.0184,0.0389
2022-07-28,22946.0,23822.0,24161.0,22749.0,55609627980.6571,454806622614.75885,0,,0.03907967700749818,-1.0,0.11683075480543836,0.05847329600995299,0.06371958026345159,22382.2,22694.9,0.064327903423256,0.049663140176867904,0.05071029724610189,47975998949.65521,1.1591134983768117,-0.11683075480543836,-0.05847329600995299,0.7354294192191937,1,0.03807967700749818,1,0.001,0.03907967700749818,,,,
2022-07-29,23849.0,23848.0,24163.0,23466.0,41089335195.63975,459609388579.5554,0,,0.0010908329170612376,-1.0,0.12299868148427207,0.0545679667462633,0.02058458509864347,22629.0,22743.0,0.05386892925007736,0.048586378226267435,0.0508769581127718,49572082656.97242,0.828880551175722,-0.12299868148427207,-0.0545679667462633,0.9239567992145311,1,0.0,0,0.0,0.0,,,,
