timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,hilo_high_ma,hilo_low_ma,signal,enter_long,enter_short,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2023-02-04,23438.0,23340.0,23539.0,23294.0,21063097082.257824,450197147854.798,-0.004787152243558729,23753.8,22984.0,1,False,False,-0.004787152243558729,0,0.0,-0.004787152243558729,0.0,lower,5.0,-0.0673,0.0227
2023-02-05,23340.0,22946.0,23411.0,22838.0,26678691424.549904,442933975658.56586,-0.017024997481458685,23701.6,23108.4,-1,False,True,-0.018024997481458686,1,0.001,-0.017024997481458685,0.0,lower,4.0,-0.0503,0.0226
2023-02-06,22948.0,22786.0,23138.0,22692.0,33963650031.470352,438726385719.1618,-0.006997317101027189,23738.8,23129.6,-1,False,False,0.006997317101027189,0,0.0,0.006997317101027189,0.0,lower,4.0,-0.0521,0.0216
2023-02-07,22803.0,23295.0,23610.0,22786.0,38850594358.69947,449391195299.20337,0.022092432992836024,23610.8,23128.6,-1,False,False,-0.022092432992836024,0,0.0,-0.022092432992836024,0.0,lower,2.0,-0.0654,0.0215
2023-02-08,23259.0,22948.0,23372.0,22808.0,34247782005.793324,442518382691.65485,-0.015007958529135477,23493.6,22981.8,-1,False,False,0.015007958529135477,0,0.0,0.015007958529135477,0.0,lower,1.0,-0.0504,0.0212
2023-02-09,22959.0,21821.0,23009.0,21696.0,51161546272.35185,420790678627.7739,-0.05035797787063278,23414.0,22883.6,-1,False,False,0.05035797787063278,0,0.0,0.05035797787063278,1.0,time,5.0,0.0181,0.0257
2023-02-10,21810.0,21630.0,21959.0,21479.0,42389972640.44812,417351358181.0193,-0.008791568904024459,23308.0,22564.0,-1,False,False,0.008791568904024459,0,0.0,0.008791568904024459,1.0,upper,5.0,0.1167,0.0245
2023-02-11,21644.0,21889.0,21906.0,21633.0,23574706405.838543,422107650473.77954,0.011902987566050162,23017.6,22292.2,-1,False,False,-0.011902987566050162,0,0.0,-0.011902987566050162,1.0,upper,4.0,0.1048,0.0237
2023-02-12,21890.0,21780.0,22101.0,21691.0,25877166000.550278,420218240428.1313,-0.004992110026203132,22771.2,22080.4,-1,False,False,0.004992110026203132,0,0.0,0.004992110026203132,1.0,upper,3.0,0.1098,0.0226
2023-02-13,21825.0,21808.0,21937.0,21471.0,36761909546.14395,420838871938.82733,0.0012847574493624963,22469.4,21861.4,-1,False,False,-0.0012847574493624963,0,0.0,-0.0012847574493624963,1.0,upper,2.0,0.1085,0.0215
