timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,ma,std,banda_superior,banda_inferior,signal,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2024-01-11,46566.0,46314.0,48888.0,45662.0,49198128806.306175,909846384596.2129,-0.006842709547476863,43979.4,1513.1984737806745,47005.79694756135,40953.00305243865,-1,0.006842709547476863,0,0.0,0.006842709547476863,0.0,lower,1.0,-0.0767,0.0269
2024-01-12,46369.0,42894.0,46504.0,41730.0,45913301456.05085,838383512176.7352,-0.07671233518300202,43936.5,1532.0299055757596,47000.55981115152,40872.44018884848,-1,0.07671233518300202,0,0.0,0.07671233518300202,0.0,time,5.0,-0.0042,0.0355
2024-01-13,42871.0,42848.0,43213.0,42434.0,19424747840.478386,839198740717.084,-0.001072986504007795,43927.15,1538.378821151651,47003.907642303304,40850.3923576967,-1,0.001072986504007795,0,0.0,0.001072986504007795,0.0,time,5.0,-0.0377,0.0337
2024-01-14,42823.0,41801.0,43088.0,41754.0,16968959097.076523,822907066751.3778,-0.024738706819236383,43835.3,1609.7361045572952,47054.77220911459,40615.827790885414,-1,0.024738706819236383,0,0.0,0.024738706819236383,0.0,time,5.0,-0.0048,0.0328
2024-01-15,41747.0,42587.0,43313.0,41747.0,22634527323.56315,835225973285.8562,0.01862877969444427,43838.85,1606.7489986728942,47052.34799734579,40625.35200265421,-1,-0.01862877969444427,0,0.0,-0.01862877969444427,0.0,time,5.0,-0.0228,0.032
2024-01-16,42506.0,43148.0,43539.0,42170.0,22023116042.275295,845770850849.578,0.013087024129212593,43825.35,1611.5980717090554,47048.54614341811,40602.153856581885,-1,-0.013087024129212593,0,0.0,-0.013087024129212593,0.0,time,5.0,-0.0379,0.0308
2024-01-17,43136.0,42714.0,43198.0,42221.0,21299064875.187115,836987995502.6503,-0.010109331163391423,43831.0,1607.2720596351182,47045.544119270235,40616.455880729765,-1,0.010109331163391423,0,0.0,0.010109331163391423,0.0,lower,5.0,-0.0781,0.0294
2024-01-18,42753.0,41261.0,42883.0,40655.0,25160430945.289833,808845819110.2808,-0.034608991451670346,43790.3,1663.4045651518206,47117.109130303645,40463.49086969636,-1,0.034608991451670346,0,0.0,0.034608991451670346,0.0,time,5.0,-0.0352,0.0296
2024-01-19,41260.0,41601.0,42094.0,40300.0,24407872954.726807,815241536115.3193,0.00820646154171603,43759.3,1699.5741293194958,47158.44825863899,40360.15174136101,-1,-0.00820646154171603,0,0.0,-0.00820646154171603,0.0,time,5.0,-0.0361,0.0285
2024-01-20,41624.0,41626.0,41844.0,41423.0,9533488489.00503,817217622403.9753,0.0006007665962228821,43730.2,1732.2026318806418,47194.60526376128,40265.79473623871,-1,-0.0006007665962228821,0,0.0,-0.0006007665962228821,0.0,time,5.0,-0.0414,0.0271
2024-01-21,41661.0,41542.0,41843.0,41513.0,8032696833.695371,814709364023.4832,-0.0020200083821430453,43598.85,1795.61762648003,47190.08525296006,40007.61474703994,-1,0.0020200083821430453,0,0.0,0.0020200083821430453,1.0,time,5.0,0.0077,0.0258
2024-01-22,41546.0,39505.0,41645.0,39505.0,31202848830.101707,775020895102.2928,-0.050277717479220066,43324.35,1981.0148721510445,47286.37974430209,39362.32025569791,1,0.049277717479220065,1,0.001,0.050277717479220066,1.0,upper,4.0,0.058,0.0283
2024-01-23,39519.0,39833.0,40125.0,38520.0,29683327703.0343,779133357029.7626,0.008268468292908586,43174.9,2128.187291421458,47431.27458284292,38918.525417157085,1,0.008268468292908586,0,0.0,0.008268468292908586,1.0,upper,4.0,0.0558,0.0274
2024-01-24,39852.0,40124.0,40499.0,39544.0,22217129215.385582,786928905377.1826,0.007278944553633549,42971.3,2218.234577790322,47407.769155580645,38534.83084441936,1,0.007278944553633549,0,0.0,0.007278944553633549,1.0,upper,5.0,0.0754,0.0264
2024-01-25,40062.0,39938.0,40262.0,39538.0,13376924612.77818,783180536824.566,-0.004646407400038829,42762.5,2300.0449080282488,47362.5898160565,38162.4101839435,1,-0.004646407400038829,0,0.0,-0.004646407400038829,1.0,upper,2.0,0.0532,0.0251
2024-01-26,39917.0,41863.0,42195.0,39827.0,22681602408.52447,820989861818.084,0.047074130291635645,42657.85,2290.478581914665,47238.807163829326,38076.89283617067,1,0.047074130291635645,0,0.0,0.047074130291635645,1.0,time,5.0,0.0171,0.0285
2024-01-27,41863.0,42120.0,42174.0,41439.0,10694258830.371908,826254540126.2368,0.0061203053529392745,42569.65,2274.686844265152,47119.0236885303,38020.2763114697,1,0.0061203053529392745,0,0.0,0.0061203053529392745,1.0,time,5.0,0.0223,0.0272
2024-01-28,42137.0,42027.0,42743.0,41735.0,13669905344.783924,824240091063.3245,-0.0022104183836881438,42324.2,2030.482794545818,46385.16558909163,38263.234410908364,1,-0.0022104183836881438,0,0.0,-0.0022104183836881438,1.0,time,5.0,0.0269,0.0259
2024-01-29,42037.0,43268.0,43287.0,41806.0,20680322267.003654,849198976216.4734,0.029101062885956645,42182.3,1842.7722565398262,45867.84451307965,38496.75548692035,1,0.029101062885956645,0,0.0,0.029101062885956645,0.0,time,5.0,-0.0067,0.0261
