timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,ema_fast,ema_slow,atr,ema_signal,long_atr,short_atr,long_trail_stop,short_trail_stop,long_stop,short_stop,signal,long_trailing_stop,short_trailing_stop,strategy_returns,position_change,transaction_cost,strategy_returns_gross
2022-05-08,35558.0,33889.0,35558.0,33616.0,30810576501.52256,648514321641.9902,-0.04280179741074289,36345.148096698875,38271.9359571374,2181.1428571428573,-1,0.0,39341.857142857145,0.0,39341.857142857145,0,0,-1,0.0,39341.857142857145,0.04280179741074289,0,0.0,0.04280179741074289
2022-05-09,34070.0,31193.0,34181.0,30404.0,58369928594.32748,576197842487.6378,-0.08289676728550403,35200.226297432455,37656.37630869067,2264.0,-1,0.0,36853.0,0.0,36853.0,0,0,-1,0.0,36853.0,0.08289676728550403,0,0.0,0.08289676728550403
2022-05-10,31169.0,30704.0,32375.0,29897.0,54071363210.08785,590644412746.6844,-0.015800771403493726,34201.064898003024,37051.821847065396,2217.0714285714284,-1,0.0,36246.67857142857,0.0,36246.67857142857,0,0,-1,0.0,36246.67857142857,0.015800771403493726,0,0.0,0.015800771403493726
2022-05-11,31027.0,28237.0,31949.0,27805.0,65985702701.50493,549294001873.1765,-0.0837597645779702,32875.71714289124,36285.3155994945,2335.3571428571427,-1,0.0,34075.392857142855,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,0.0837597645779702,0,0.0,0.0837597645779702
2022-05-12,29132.0,28972.0,29955.0,26379.0,61338080283.57989,555266177876.6213,0.025696671645705625,32008.224444470965,35649.37511258193,2382.285714285714,-1,0.0,34927.71428571428,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,-0.025696671645705625,0,0.0,-0.025696671645705625
2022-05-13,29126.0,29585.0,30879.0,28677.0,71541696924.39926,558053182541.2809,0.020937629795577818,31469.730123477417,35122.03814627046,2389.285714285714,-1,0.0,35558.21428571428,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,-0.020937629795577818,0,0.0,-0.020937629795577818
2022-05-14,29363.0,29921.0,30077.0,28253.0,25759546763.688618,573777699744.01,0.011293098878994238,31125.56787381577,34669.773959638245,2439.0,-1,0.0,36018.5,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,-0.011293098878994238,0,0.0,-0.011293098878994238
2022-05-15,30186.0,31121.0,31172.0,28619.0,22948123704.172672,596346266888.6597,0.039322257462356215,31124.552790745598,34361.18491966971,2513.3571428571427,-1,0.0,37404.392857142855,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,-0.039322257462356215,0,0.0,-0.039322257462356215
2022-05-16,31319.0,29686.0,31319.0,28817.0,28418179221.125336,569801943005.2971,-0.047207278267434725,30804.874392802132,33954.64710056799,2596.0714285714284,-1,0.0,36176.17857142857,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,0.047207278267434725,0,0.0,0.047207278267434725
2022-05-17,29924.0,29956.0,30684.0,29245.0,24964703223.57502,581272773175.8237,0.009054084184547404,30616.2356388461,33606.938657040344,2579.785714285714,-1,0.0,36405.46428571428,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,-0.009054084184547404,0,0.0,-0.009054084184547404
2022-05-18,30502.0,28744.0,30535.0,28392.0,26219431165.241817,547927169401.20306,-0.04130058857590306,30200.183274658077,33184.074425993356,2529.214285714286,-1,0.0,35067.03571428572,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,0.04130058857590306,0,0.0,0.04130058857590306
2022-05-19,28772.0,30139.0,30472.0,28018.0,29190056577.430664,578678245847.8763,0.04739096433638129,30186.586991400727,32919.2853454722,2408.5,-1,0.0,36160.25,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,-0.04739096433638129,0,0.0,-0.04739096433638129
2022-05-20,30289.0,29153.0,30498.0,28307.0,25980877919.56809,557201657280.7389,-0.03326219069460829,29956.900993311676,32591.782271952878,2475.714285714286,-1,0.0,35342.28571428572,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,0.03326219069460829,0,0.0,0.03326219069460829
2022-05-21,29257.0,29302.0,29587.0,28606.0,13561006428.368963,561696351558.8424,0.00509794962613069,29811.367439242415,32305.714248304805,2443.285714285714,-1,0.0,35410.21428571428,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,-0.00509794962613069,0,0.0,-0.00509794962613069
2022-05-22,29492.0,30178.0,30342.0,28762.0,17199930154.801018,578090387085.146,0.029457409012338332,29892.84134163299,32120.69561801743,2417.4285714285716,-1,0.0,36221.57142857143,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,-0.029457409012338332,0,0.0,-0.029457409012338332
2022-05-24,29396.0,29655.0,29785.0,28716.0,23486436836.56051,564885248021.9939,-0.017482436800769722,29839.987710158992,31906.28730340722,2252.0714285714284,-1,0.0,35285.17857142857,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,0.017482436800769722,0,0.0,0.017482436800769722
2022-05-25,29647.0,29585.0,30173.0,29399.0,23108764916.206596,563577022957.9133,-0.002363269162032516,29783.323774568104,31704.436233545726,2130.3571428571427,-1,0.0,34910.892857142855,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,0.002363269162032516,0,0.0,0.002363269162032516
2022-05-26,29573.0,29347.0,29864.0,28412.0,31972044691.709656,559066076343.6685,-0.00807714972959198,29686.362935775192,31499.441778454795,1938.0714285714287,-1,0.0,34192.17857142857,0.0,34075.392857142855,0,0,-1,0.0,34075.392857142855,0.00807714972959198,0,0.0,0.00807714972959198
2022-05-27,29349.0,28647.0,29353.0,28327.0,31756305901.005535,545752899521.8662,-0.02414160076289022,29455.393394491817,31251.403362936988,1755.9285714285713,-1,0.0,33036.82142857143,0.0,33036.82142857143,0,0,-1,0.0,33036.82142857143,0.02414160076289022,0,0.0,0.02414160076289022
2022-05-28,28646.0,29088.0,29132.0,28606.0,15406515372.711676,554938694217.2793,0.015276992358893262,29373.75041793808,31063.281331377253,1636.2142857142858,-1,0.0,33178.53571428572,0.0,33036.82142857143,0,0,-1,0.0,33036.82142857143,-0.015276992358893262,0,0.0,-0.015276992358893262
2022-05-29,29082.0,29493.0,29520.0,28907.0,14496111397.934435,561771345708.952,0.013827229057828582,29400.250325062952,30926.735128648797,1549.7142857142858,-1,0.0,33367.28571428572,0.0,33036.82142857143,0,0,-1,0.0,33036.82142857143,-0.013827229057828582,0,0.0,-0.013827229057828582
2022-05-30,29497.0,31741.0,31879.0,29354.0,34891305294.623,604926607440.7722,0.07345627353520033,29920.416919493407,30997.54076963586,1547.7142857142858,-1,0.0,35610.28571428572,0.0,33036.82142857143,0,0,-1,0.0,33036.82142857143,-0.07345627353520033,0,0.0,-0.07345627353520033
2022-05-31,31737.0,31866.0,32227.0,31319.0,29770567353.488136,607393396318.7885,0.003930390080219918,30352.76871516154,31073.05896358057,1433.857142857143,-1,0.0,35450.642857142855,0.0,33036.82142857143,0,0,-1,0.0,33036.82142857143,-0.003930390080219918,0,0.0,-0.003930390080219918
2022-06-01,31814.0,29833.0,31982.0,29441.0,35553330791.53566,569001624438.0176,-0.06592444730239518,30237.26455623675,30965.227749356174,1512.5714285714287,-1,0.0,33614.42857142857,0.0,33036.82142857143,0,0,-1,0.0,33036.82142857143,0.06592444730239518,0,0.0,0.06592444730239518
2022-06-02,29822.0,30481.0,30624.0,29667.0,24232399986.261147,580863150152.0535,0.021488375313289954,30291.42798818414,30923.120988542596,1427.857142857143,-1,0.0,34050.642857142855,0.0,33036.82142857143,0,0,-1,0.0,33036.82142857143,-0.021488375313289954,0,0.0,-0.021488375313289954
2022-06-03,30447.0,29714.0,30636.0,29400.0,21997859590.66833,566275595800.1772,-0.025485223464050726,30163.11065747655,30817.980033017153,1340.857142857143,-1,0.0,33066.142857142855,0.0,33036.82142857143,0,0,-1,0.0,33036.82142857143,0.025485223464050726,0,0.0,0.025485223464050726
2022-06-04,29704.0,29872.0,29941.0,29518.0,12911383481.843807,568340135127.331,0.005303271584205521,30098.41940025954,30735.720899711316,1214.5714285714287,-1,0.0,32908.42857142857,0.0,32908.42857142857,0,0,-1,0.0,32908.42857142857,-0.005303271584205521,0,0.0,-0.005303271584205521
2022-06-05,29858.0,29918.0,30134.0,29610.0,13395229055.412352,570209935092.4275,0.0015387191529024728,30058.326200201864,30664.61473451903,1181.9285714285713,-1,0.0,32872.82142857143,0.0,32872.82142857143,0,0,-1,0.0,32872.82142857143,-0.0015387191529024728,0,0.0,-0.0015387191529024728
2022-06-06,29919.0,31373.0,31680.0,29919.0,27644798123.298183,597966736176.5532,0.047487344447958414,30350.47593349034,30726.213453256507,1194.9285714285713,-1,0.0,34360.32142857143,0.0,32872.82142857143,0,0,-1,0.0,32872.82142857143,-0.047487344447958414,0,0.0,-0.047487344447958414
2022-06-07,31343.0,31265.0,31523.0,29315.0,36111325508.04181,597205650752.5386,-0.0034483893809662985,30553.70350382582,30773.06445732116,1248.2142857142858,-1,0.0,34385.53571428572,0.0,32872.82142857143,0,0,-1,0.0,32872.82142857143,0.0034483893809662985,0,0.0,0.0034483893809662985
2022-06-08,31233.0,30229.0,31263.0,29975.0,27080284928.564884,576238781341.3682,-0.033697532497171,30481.5471696423,30725.754504510627,1285.0714285714287,-1,0.0,33441.67857142857,0.0,32872.82142857143,0,0,-1,0.0,32872.82142857143,0.033697532497171,0,0.0,0.033697532497171
2022-06-09,30234.0,30101.0,30610.0,29981.0,18871591862.340336,573819802894.6453,-0.004243334727756188,30396.981131944012,30671.42802585753,1226.2857142857142,-1,0.0,33166.71428571428,0.0,32872.82142857143,0,0,-1,0.0,32872.82142857143,0.004243334727756188,0,0.0,0.004243334727756188
2022-06-10,30097.0,29101.0,30266.0,28943.0,25663085729.428833,554622874799.0432,-0.03378585594615656,30108.985324845344,30534.86906708731,1247.5,-1,0.0,32219.75,0.0,32219.75,0,0,-1,0.0,32219.75,0.03378585594615656,0,0.0,0.03378585594615656
