date,mvrv_z_score
2019-07-07,2.201457764496206
2019-07-08,2.49791395947742
2019-07-09,2.57443223152496
2019-07-10,2.403311183843804
2019-07-11,2.1132591944585446
2019-07-12,2.2816951518654993
2019-07-13,2.117465777393966
2019-07-14,1.7272861128731165
2019-07-15,1.9559238430518795
2019-07-16,1.480441220674135
2019-07-17,1.5293174395234248
2019-07-18,1.880647106210972
2019-07-19,1.8116685176476304
2019-07-20,1.8890337356178928
2019-07-21,1.8256862339674147
2019-07-22,1.7337530594202046
2019-07-23,1.581290529722028
2019-07-24,1.5481514972012722
2019-07-25,1.5763899353768942
2019-07-26,1.5603306775698695
2019-07-27,1.4164588502390356
2019-07-28,1.4492825431599567
2019-07-29,1.4078549405237435
2019-07-30,1.4292626101063457
2019-07-31,1.5911646179111474
2019-08-01,1.695587589243922
2019-08-02,1.7328918390756975
2019-08-03,1.8314016068664491
2019-08-04,1.8783702372480775
2019-08-05,2.150087307334444
2019-08-06,2.0158765868915136
2019-08-07,2.172619392772
2019-08-08,2.1695796168337993
2019-08-09,2.1365957784310248
2019-08-10,1.9646013136360925
2019-08-11,2.013877387947389
2019-08-12,1.9622639779586808
2019-08-13,1.7974873185602769
2019-08-14,1.500258854821385
2019-08-15,1.5920558438099082
2019-08-16,1.610994723979983
2019-08-17,1.5581626854158876
2019-08-18,1.6004080624998882
2019-08-19,1.7726380084381124
2019-08-20,1.7337209837044918
2019-08-21,1.5034051601088028
2019-08-22,1.518341405627529
2019-08-23,1.6023547833634375
2019-08-24,1.517799992905999
2019-08-25,1.4991162724517235
2019-08-26,1.5845408027501835
2019-08-27,1.5191039003686686
2019-08-28,1.372786797354714
2019-08-29,1.293322854109677
2019-08-30,1.3213148314127297
2019-08-31,1.3316843278201689
2019-09-01,1.3724690781318225
2019-09-02,1.5621643399320044
2019-09-03,1.6597450655517414
2019-09-04,1.6384636446694878
2019-09-05,1.631860603534076
2019-09-06,1.5390222458901843
2019-09-07,1.5903793012594465
2019-09-08,1.5659121254228203
2019-09-09,1.529729622057607
2019-09-10,1.4541992229982164
2019-09-11,1.4680639851985997
2019-09-12,1.5381553892098012
2019-09-13,1.5217648824605847
2019-09-14,1.518917839439814
2019-09-15,1.5124954274030562
2019-09-16,1.4880945559834418
2019-09-17,1.4745933304418777
2019-09-18,1.4609808090995942
2019-09-19,1.4788692436343476
2019-09-20,1.4480358202698886
2019-09-21,1.3950723971606067
2019-09-22,1.4088493921040106
2019-09-23,1.2987386114640809
2019-09-24,0.937109569963189
2019-09-25,0.9003327552648336
2019-09-26,0.7865879962505935
2019-09-27,0.8303579144166051
2019-09-28,0.8290133287675894
2019-09-29,0.7843527540171065
2019-09-30,0.8442451358812758
2019-10-01,0.8630512902075111
2019-10-02,0.879501082083295
2019-10-03,0.839712001139917
2019-10-04,0.8202179146350715
2019-10-05,0.8047224546928451
2019-10-06,0.7491452495918263
2019-10-07,0.8326727443507971
2019-10-08,0.8269061057476774
2019-10-09,0.9455209959726903
2019-10-10,0.94100239219168
2019-10-11,0.8562188942822191
2019-10-12,0.8644587561433892
2019-10-13,0.8562838226771385
2019-10-14,0.8634906857505573
2019-10-15,0.8109212002664663
2019-10-16,0.7637395002343353
2019-10-17,0.7786127374538092
2019-10-18,0.7393116618468532
2019-10-19,0.7419525344539051
2019-10-20,0.8147094303602275
2019-10-21,0.821431128341732
2019-10-22,0.7714771559361089
2019-10-23,0.5895193896292252
2019-10-24,0.5903212173663059
2019-10-25,0.9599714817161852
2019-10-26,1.150038547506816
2019-10-27,1.2452536218734334
2019-10-28,1.1457956993875211
2019-10-29,1.1953441113914216
2019-10-30,1.1234289408758655
2019-10-31,1.1161424562682072
2019-11-01,1.1321583926542855
2019-11-02,1.155026416979568
2019-11-03,1.127834960955833
2019-11-04,1.181920810681579
2019-11-05,1.1694550985034746
2019-11-06,1.169769945445769
2019-11-07,1.1385676540247196
2019-11-08,1.0013050504438274
2019-11-09,0.9937493926035624
2019-11-10,1.071070913574046
2019-11-11,0.9705207171026676
2019-11-12,0.9902529655442348
2019-11-13,0.9906202450483949
2019-11-14,0.9586172545626708
2019-11-15,0.8847287004001416
2019-11-16,0.9025710410829216
2019-11-17,0.9102481802255412
2019-11-18,0.8286954565583747
2019-11-19,0.7937504646923212
2019-11-20,0.7357763298625392
2019-11-21,0.6157766842481099
2019-11-22,0.5113879218712618
2019-11-23,0.5422366320250637
2019-11-24,0.4389956250849515
2019-11-25,0.4695158270977599
2019-11-26,0.4960012521346742
2019-11-27,0.5987969723101915
2019-11-28,0.5761828677955063
2019-11-29,0.6699758958390628
2019-11-30,0.6035287086536154
2019-12-01,0.566536815579467
2019-12-02,0.533908516241431
2019-12-03,0.5350579502545463
2019-12-04,0.5145199989318863
2019-12-05,0.5768562776453762
2019-12-06,0.6071174053986854
2019-12-07,0.6093059402765161
2019-12-08,0.6136484989343901
2019-12-09,0.5613829086212491
2019-12-10,0.5201194478940137
2019-12-11,0.5049849321901944
2019-12-12,0.5137646042258317
2019-12-13,0.5217990033698131
2019-12-14,0.4755451264030158
2019-12-15,0.4872889137944305
2019-12-16,0.4169324271219984
2019-12-17,0.3166667988565744
2019-12-18,0.5289701568523789
2019-12-19,0.5071482550655029
2019-12-20,0.5114393060591029
2019-12-21,0.502151209235824
2019-12-22,0.6050846799535077
2019-12-23,0.5545694826398281
2019-12-24,0.5391605006994877
2019-12-25,0.5334431603058661
2019-12-26,0.5222349968429059
2019-12-27,0.5389774532194456
2019-12-28,0.5466661843017266
2019-12-29,0.5792941716880148
2019-12-30,0.5423636645440285
2019-12-31,0.507512000983555
2020-01-01,0.5108304882355614
2020-01-02,0.4437318632350262
2020-01-03,0.5575487533039664
2020-01-04,0.5765397778379232
2020-01-05,0.5772928455773
2020-01-06,0.6909100693758944
2020-01-07,0.8147960270303161
2020-01-08,0.7864790706949188
2020-01-09,0.7193831724119311
2020-01-10,0.8056694432005826
2020-01-11,0.7673163006447853
2020-01-12,0.8159458324097826
2020-01-13,0.8027527393707103
2020-01-14,1.0100244700497505
2020-01-15,1.003076235603548
2020-01-16,0.9728897844646214
2020-01-17,1.0359044610849493
2020-01-18,1.04146796570955
2020-01-19,0.9668965887765324
2020-01-20,0.9505926896826132
2020-01-21,0.9769180732397168
2020-01-22,0.9556978231128246
2020-01-23,0.8632047811170943
2020-01-24,0.8800213205295483
2020-01-25,0.8550983020597809
2020-01-26,0.926427771436948
2020-01-27,1.0273740152101716
2020-01-28,1.1452594350965213
2020-01-29,1.1502721924395405
2020-01-30,1.1959682541976515
2020-01-31,1.1518544042706251
2020-02-01,1.1601097688378317
2020-02-02,1.14687665247126
2020-02-03,1.1266450666707424
2020-02-04,1.0904506308837385
2020-02-05,1.2236332197944122
2020-02-06,1.252653229269599
2020-02-07,1.2636809615172466
2020-02-08,1.2872122376090642
2020-02-09,1.3634552853854738
2020-02-10,1.2787420686555269
2020-02-11,1.38250650289033
2020-02-12,1.417817154426153
2020-02-13,1.3742827203314698
2020-02-14,1.4020476394726518
2020-02-15,1.2791332965831823
2020-02-16,1.2649657896510795
2020-02-17,1.207528554256629
2020-02-18,1.3503944433962158
2020-02-19,1.1913823351893478
2020-02-20,1.1795543933947188
2020-02-21,1.2052426323725145
2020-02-22,1.1920971485730734
2020-02-23,1.270970319982693
2020-02-24,1.1844381894353455
2020-02-25,1.089785835022002
2020-02-26,0.925774161543758
