date,spot_cvd_sum
2021-10-11,4960.956126714816
2021-10-12,-5414.467994444943
2021-10-13,1115.897089732024
2021-10-14,-5822.514670522544
2021-10-15,11886.720757042254
2021-10-16,-3820.190757619681
2021-10-17,-995.9438956661214
2021-10-18,1396.7126621210812
2021-10-19,-1064.6345829578358
2021-10-20,8476.468154099548
2021-10-21,-11610.441427806256
2021-10-22,-4048.116167852011
2021-10-23,-1401.27755439865
2021-10-24,2000.384977844223
2021-10-25,1513.0075929868624
2021-10-26,-4977.80226411171
2021-10-27,-5131.334301048439
2021-10-28,-3514.6394039792335
2021-10-29,2716.8039655670577
2021-10-30,-71.14266873763633
2021-10-31,2421.642281637824
2021-11-01,-2359.391923191925
2021-11-02,1695.0646195062402
2021-11-03,-3218.369128407588
2021-11-04,-78.34627537691227
2021-11-05,2440.5285972718066
2021-11-06,634.9319547338916
2021-11-07,3766.374629228192
2021-11-08,10265.854762331768
2021-11-09,-2117.6941053301393
2021-11-10,-5085.747003839921
2021-11-11,19.82519659663533
2021-11-12,-2293.5945314755804
2021-11-13,-2179.670017000285
2021-11-14,403.20050981065646
2021-11-15,-2740.0221559845377
2021-11-16,-14469.941289554608
2021-11-17,-5352.594179878225
2021-11-18,-10797.407596967942
2021-11-19,-2242.94664193758
2021-11-20,271.80446325216457
2021-11-21,-3374.567486107029
2021-11-22,-6219.105367992934
2021-11-23,-2763.038758297832
2021-11-24,-2106.6493732532113
2021-11-25,-708.1506749160721
2021-11-26,-11414.0246249008
2021-11-27,185.09428189632396
2021-11-28,519.6430284382294
2021-11-29,-1887.2797604345988
2021-11-30,-5264.048242912108
2021-12-01,-2237.5287881952454
2021-12-02,-293.0102484561325
2021-12-03,-8496.554180071405
2021-12-04,-11580.170936525774
2021-12-05,863.1304954986376
2021-12-06,655.7076836544892
2021-12-07,-1134.930849706071
2021-12-08,-2146.1310087048355
2021-12-09,-2456.225942991342
2021-12-10,-3742.688622589008
2021-12-11,1608.445880015059
2021-12-12,2593.6828725815876
2021-12-13,-6399.353751512093
2021-12-14,-323.9334022292473
2021-12-15,2158.522498094618
2021-12-16,-1745.294192769678
2021-12-17,-3811.455234278274
2021-12-18,2808.1253105227997
2021-12-19,1698.978050445181
2021-12-20,462.4140474503273
2021-12-21,5448.873554839358
2021-12-22,-221.51804629600517
2021-12-23,3084.3980262910095
2021-12-24,-1897.8235943734023
2021-12-25,283.6367225112236
2021-12-26,88.71954877384772
2021-12-27,997.9867755239228
2021-12-28,-2446.255883095852
2021-12-29,2253.7970352004254
2021-12-30,10945.550414145628
2021-12-31,-120.52926182843149
2022-01-01,931.117341367946
2022-01-02,901.771514029772
2022-01-03,1236.9464682516511
2022-01-04,518.2281612653483
2022-01-05,-8458.899109442327
2022-01-06,509.7005617726079
2022-01-07,-4173.999581117174
2022-01-08,49.4685139120789
2022-01-09,1146.6326186938727
2022-01-10,-840.5911979352607
2022-01-11,589.680628824726
2022-01-12,4859.079113668891
2022-01-13,95.69294773589108
2022-01-14,-1691.0110953046164
2022-01-15,-1362.6936022465738
2022-01-16,-963.399445466268
2022-01-17,-1309.779330358392
2022-01-18,-497.017532568522
2022-01-19,260.8868568634152
2022-01-20,-2497.107147398759
2022-01-21,-11522.539710104753
2022-01-22,-10419.891115881948
2022-01-23,749.3917721822517
2022-01-24,1526.548578272091
2022-01-25,-2563.080212664254
2022-01-26,823.5469231330275
2022-01-27,2015.8402864338025
2022-01-28,1774.5184447789973
2022-01-29,2107.3778719797874
2022-01-30,-1088.6157978803503
2022-01-31,-610.291027394598
2022-02-01,3037.9975110533064
2022-02-02,-3050.1951326602884
2022-02-03,2448.3979279078058
2022-02-04,5698.892901517155
2022-02-05,-1387.882039185173
2022-02-06,3151.214428498327
2022-02-07,1906.0314079157977
2022-02-08,756.1875078580374
2022-02-09,-424.6596520548581
2022-02-10,-1962.2596058202537
2022-02-11,-606.2072730795601
2022-02-12,-535.9644808820373
2022-02-13,-1141.562919533366
2022-02-14,989.5686633958304
2022-02-15,1150.6376899686345
2022-02-16,-587.860116079648
2022-02-17,-7872.619501920665
2022-02-18,-3950.103210659832
2022-02-19,-1986.286659750836
2022-02-20,-5834.286799582337
2022-02-21,-3398.1618264260023
2022-02-22,2313.4210577126837
2022-02-23,-2258.7417198061203
2022-02-24,-1498.5762844033593
2022-02-25,5046.044129868001
2022-02-26,489.9396242066973
2022-02-27,-5411.659051881663
2022-02-28,8517.406267089618
2022-03-01,-1716.8200258294298
2022-03-02,-427.18564113269633
2022-03-03,-768.2785813787783
2022-03-04,-9152.396485032245
2022-03-05,-1302.666359738966
2022-03-06,-2414.417838563031
2022-03-07,-1046.780108287024
2022-03-08,-1265.1199701980283
2022-03-09,1993.4959407186516
2022-03-10,-9265.631723104669
2022-03-11,2387.878049735251
2022-03-12,-1331.6848076244848
2022-03-13,-5274.1323081302235
2022-03-14,712.2846818765579
2022-03-15,-2275.381741127827
2022-03-16,149.56881754941833
2022-03-17,-3413.2589872847366
2022-03-18,-1991.4083770841603
2022-03-19,-431.06804786566056
2022-03-20,-3591.0073458568377
2022-03-21,-1660.1536489494392
2022-03-22,2347.1661875806676
2022-03-23,97.4696989776718
2022-03-24,2237.2870079006725
2022-03-25,5237.876283751707
2022-03-26,751.7484839904293
2022-03-27,7100.413045086792
2022-03-28,530.0627192803506
2022-03-29,-313.9173003272929
2022-03-30,639.7998658663405
2022-03-31,-6122.543746432788
2022-04-01,920.1860550447348
2022-04-02,-278.6031891816418
2022-04-03,871.1606370935791
2022-04-04,389.4742216695432
2022-04-05,-46.88471278558515
2022-04-06,-370.32236415432783
2022-04-07,1169.5773577058708
2022-04-08,-2199.062029710208
2022-04-09,578.5036705127912
2022-04-10,-999.2953986332144
2022-04-11,-7648.197329602384
2022-04-12,275.0267708752239
2022-04-13,898.4074506571598
2022-04-14,-3009.459094111059
2022-04-15,-84.2123466144749
2022-04-16,-902.4695427077386
2022-04-17,-2030.247681176074
2022-04-18,1227.5358719611236
2022-04-19,-144.3997013363286
2022-04-20,-3083.297263183437
2022-04-21,-1382.067756490147
2022-04-22,1107.3646262244702
2022-04-23,-1148.9318660207173
2022-04-24,-3092.8241832942567
2022-04-25,-803.9300923149272
2022-04-26,-4948.008226974129
2022-04-27,1409.3074220580793
2022-04-28,346.9641219299255
2022-04-29,-3085.3213507994287
2022-04-30,-3985.821446407166
2022-05-01,905.3477620506056
2022-05-02,3342.055953111545
2022-05-03,940.1933990551444
2022-05-04,7115.435149515082
2022-05-05,-6227.939975053701
2022-05-06,2168.193811039925
2022-05-07,-4285.672909356731
2022-05-08,-15062.623503327652
2022-05-09,-35279.12797464748
2022-05-10,-15908.403369910107
2022-05-11,-18545.128676356817
2022-05-12,-17991.976299992977
2022-05-13,979.3704693919956
2022-05-14,80.95087300027382
2022-05-15,4949.778019084633
2022-05-16,-1597.5865605193123
2022-05-17,3737.7665854559423
2022-05-18,749.2880537198552
2022-05-19,9933.075021932773
2022-05-20,3742.2076612797264
2022-05-21,1355.064497141857
2022-05-22,3064.6343091587178
2022-05-23,-5577.38376043608
2022-05-24,232.92966849583271
2022-05-25,-1964.3044627973936
2022-05-26,-4516.924504301171
2022-05-27,-4149.738272676644
2022-05-28,1099.802895028084
2022-05-29,1756.7035404895423
2022-05-30,-2685.8090486936317
2022-05-31,-3559.9403465642013
2022-06-01,-12307.194399292404
2022-06-02,17.89040064102744
2022-06-03,-1017.1605170914356
2022-06-04,1074.4675388759088
2022-06-05,955.2090196651532
2022-06-06,522.7931195753877
2022-06-07,-1190.3441445140836
2022-06-08,-3487.5022714241168
2022-06-09,-623.8692243176448
2022-06-10,-5404.555098204133
2022-06-11,-5406.507917985029
2022-06-12,-11591.348194895543
2022-06-13,-32956.877734182366
2022-06-14,-6295.225542261085
2022-06-15,-4623.542224110044
2022-06-16,-5734.699392191969
2022-06-17,17312.130303232865
2022-06-18,-14421.136985050074
2022-06-19,8756.98350104253
2022-06-20,4645.958997466709
2022-06-21,3555.895438280365
2022-06-22,-2391.777995278282
2022-06-23,8725.217632435202
2022-06-24,3824.511277774903
2022-06-25,-130.5531511931096
2022-06-26,-1808.6550611452203
2022-06-27,-517.84074044962
2022-06-28,-4864.683638902176
2022-06-29,-2333.936840939648
2022-06-30,-5891.0257712806015
2022-07-01,5769.456885505656
2022-07-02,3274.313629898559
2022-07-03,1363.57470216261
2022-07-04,7167.188984989182
2022-07-05,1214.0283481705767
2022-07-06,2095.7229111668244
2022-07-07,1676.6006640347446
2022-07-08,1007.1631663489068
2022-07-09,197.19245572599937
2022-07-10,-5610.942089252698
2022-07-11,-6890.618935729047
2022-07-12,-4484.522151369158
2022-07-13,-693.6724467899915
2022-07-14,2485.5810976168887
2022-07-15,719.2381504692514
2022-07-16,1224.1213163588998
2022-07-17,-807.8965389251343
2022-07-18,7844.685147622256
2022-07-19,2523.748725559791
2022-07-20,611.5821217263236
2022-07-21,-314.1809752519872
2022-07-22,-3440.651192050549
2022-07-23,147.80256979536364
2022-07-24,2366.5803780390297
2022-07-25,-32777.34937231954
2022-07-26,-4135.909708699109
2022-07-27,4928.050005595079
2022-07-28,2699.5320450211157
2022-07-29,1261.5896955003475
2022-07-30,353.71101460721934
2022-07-31,-169.18473555909614
2022-08-01,-2042.3129755813695
2022-08-02,-4275.614917552015
2022-08-03,-2493.5781403173723
2022-08-04,-3707.7547003834034
2022-08-05,3009.3277368906747
2022-08-06,-2639.7188113673265
2022-08-07,254.92501892000956
2022-08-08,2849.5015865323985
2022-08-09,-5090.728911863093
2022-08-10,1840.612678685863
2022-08-11,-691.4091507114439
2022-08-12,1686.2194803814086
2022-08-13,381.2575772060175
2022-08-14,-734.4507898773884
2022-08-15,-2819.9444434097713
2022-08-16,-2034.1369728052443
2022-08-17,-1017.5460711854106
2022-08-18,23.21174185604488
2022-08-19,-10428.384375333206
2022-08-20,1571.3355800659078
2022-08-21,5566.076775898217
2022-08-22,-1592.4449470173474
2022-08-23,1746.3654557981945
2022-08-24,-1226.1059567732864
2022-08-25,-565.9377175498016
2022-08-26,-7275.480532777668
2022-08-27,-1256.18775397429
2022-08-28,-2059.468241359696
2022-08-29,3670.225521513551
2022-08-30,-2581.568984950704
2022-08-31,6582.47068827198
2022-09-01,-4090.4018280410423
2022-09-02,-1870.2324062369817
2022-09-03,-4711.428858499381
2022-09-04,12.111201237142543
2022-09-05,-1836.6182319764127
2022-09-06,-15904.191511063647
2022-09-07,55.17999822177099
2022-09-08,-969.406777165827
2022-09-09,13341.374690269366
2022-09-10,1337.991233724901
2022-09-11,-2687.2907084728167
2022-09-12,4774.182395837324
2022-09-13,-11363.461811389112
2022-09-14,-2519.87841487795
2022-09-15,-8975.727656313831
2022-09-16,-995.0890713524
2022-09-17,2153.33007270534
2022-09-18,-9743.018895572355
2022-09-19,-5591.05850455143
2022-09-20,-8518.456058688595
2022-09-21,-12204.634894079396
2022-09-22,2881.674573947829
2022-09-23,-1215.5241124917695
2022-09-24,-1735.305067434122
2022-09-25,-4092.9905038064785
2022-09-26,800.563876974562
2022-09-27,-3843.045342527045
2022-09-28,2195.258471228058
2022-09-29,-1379.6824530619162
2022-09-30,-4060.778556280627
2022-10-01,-1770.413412940967
