date,hash_rate_mean
2022-05-13,236496153408788430000
2022-05-14,218441868746844860000
2022-05-15,189872104590803240000
2022-05-16,258150383089861400000
2022-05-17,224869236001360770000
2022-05-18,209915960553461700000
2022-05-19,189235781912387620000
2022-05-20,198043534555254720000
2022-05-21,209839168455981070000
2022-05-22,188999895156157550000
2022-05-23,248528466662272530000
2022-05-24,187024012721232000000
2022-05-25,219415380533916000000
2022-05-26,209560220788215200000
2022-05-27,205213127411544060000
2022-05-28,221853829394606520000
2022-05-29,221796727802759680000
2022-05-30,226342819539330760000
2022-05-31,217472199936240500000
2022-06-01,202194534808578700000
2022-06-02,185163112914216200000
2022-06-03,212510569159414450000
2022-06-04,210398867916529100000
2022-06-05,216402825019374760000
2022-06-06,220226838560022100000
2022-06-07,239965857898232120000
2022-06-08,269787410779802730000
2022-06-09,219350370660187340000
2022-06-10,219622385841419160000
2022-06-11,231596960606973560000
2022-06-12,193993481263931400000
2022-06-13,197174899622248100000
2022-06-14,220673309341844300000
2022-06-15,248372215372138220000
2022-06-16,181188247950469730000
2022-06-17,162379220228085900000
2022-06-18,231341373468716370000
2022-06-19,200809628748722300000
2022-06-20,201529248205887700000
2022-06-21,226138388279255860000
2022-06-22,189795073939186600000
2022-06-23,224854599128919200000
2022-06-24,188848641361974760000
2022-06-25,222004780938202450000
2022-06-26,202950522219018650000
2022-06-27,199392731697885200000
2022-06-28,219260529463070200000
2022-06-29,218267726568764050000
2022-06-30,252144955200705760000
2022-07-01,199087405171481380000
2022-07-02,202243263302446580000
2022-07-03,225195339709502750000
2022-07-04,212521101067692870000
2022-07-05,173226486807563860000
2022-07-06,185126933616326180000
2022-07-07,228333987768598560000
2022-07-08,215960364829882300000
2022-07-09,191470563527240020000
2022-07-10,223806658792533700000
2022-07-11,177176257979529760000
2022-07-12,219634050134494900000
2022-07-13,160314910683173780000
2022-07-14,177440907040926240000
2022-07-15,207048374698824560000
2022-07-16,213819873600361600000
2022-07-17,179758247650639640000
2022-07-18,194108442265979650000
2022-07-19,198356393688955220000
2022-07-20,179543644031157830000
2022-07-21,199541652722524360000
2022-07-22,181606766130548000000
2022-07-23,211263618846407430000
2022-07-24,217488810435306900000
2022-07-25,197235684564493000000
2022-07-26,217381033279034600000
2022-07-27,227381947965221540000
2022-07-28,195757543516678980000
2022-07-29,199550066813369200000
2022-07-30,177218994776954400000
2022-07-31,211927395570407570000
2022-08-01,186807479234259580000
2022-08-02,212270658588017070000
2022-08-03,198196950990507770000
2022-08-04,184582758397535350000
2022-08-05,210282695066173150000
2022-08-06,223530760597393080000
2022-08-07,227992030817765060000
2022-08-08,197360307583929650000
2022-08-09,200743924055376760000
2022-08-10,208476397411256900000
2022-08-11,197826864070310760000
2022-08-12,212679795875785930000
2022-08-13,194213976684175950000
2022-08-14,186619290134271850000
2022-08-15,203899244159517160000
2022-08-16,207315607626279880000
2022-08-17,180031797315802700000
2022-08-18,203177178155508170000
2022-08-19,248899576586932750000
2022-08-20,211417219253329260000
2022-08-21,206563568706291430000
2022-08-22,202564532141249530000
2022-08-23,243207572086878470000
2022-08-24,205053075141513770000
2022-08-25,224935307309033520000
2022-08-26,248430841230310080000
2022-08-27,204365168282371200000
2022-08-28,225560829123864130000
2022-08-29,221837897041278400000
2022-08-30,227487911524905000000
2022-08-31,220964600716477430000
2022-09-01,211777573876524650000
2022-09-02,198052802126290700000
2022-09-03,225907054807889800000
2022-09-04,261572495019712200000
2022-09-05,234321184137171040000
2022-09-06,218546262889548200000
2022-09-07,224770098804681540000
2022-09-08,196721101827699200000
2022-09-09,226079407256418500000
2022-09-10,240027252313327400000
2022-09-11,282307321500563140000
2022-09-12,238563993910067230000
2022-09-13,211483930644142420000
2022-09-14,200574763994575860000
2022-09-15,235263196635573450000
2022-09-16,202565513730675380000
2022-09-17,271007935561775380000
2022-09-18,246097051836437170000
2022-09-19,205803957623160100000
2022-09-20,242960226242930180000
2022-09-21,224084174408933080000
2022-09-22,204306239538401600000
2022-09-23,214400137641295680000
2022-09-24,233594859664793270000
2022-09-25,233124366371300470000
2022-09-26,241084916017360830000
2022-09-27,206553933949281240000
2022-09-28,233501132657209670000
2022-09-29,221566893475577460000
2022-09-30,263809162149374900000
2022-10-01,281373755951715500000
2022-10-02,246436627662993460000
2022-10-03,239315251611152100000
2022-10-04,254505096997521700000
2022-10-05,273371596515479520000
2022-10-06,246317926014584460000
2022-10-07,266190768356303770000
2022-10-08,275104078359854500000
2022-10-09,248640856498344100000
2022-10-10,274581794749652100000
2022-10-11,280329093525823550000
2022-10-12,240632144696906800000
2022-10-13,253723220735489050000
2022-10-14,277165157995097300000
2022-10-15,267910963304243400000
2022-10-16,256246611636546860000
2022-10-17,264160548170785850000
2022-10-18,251884647865096440000
2022-10-19,267356153923864200000
2022-10-20,262317177641012530000
2022-10-21,269970950406861100000
2022-10-22,241297604514833240000
2022-10-23,274381200730297300000
2022-10-24,248344222042541620000
2022-10-25,226494195210444600000
2022-10-26,280999312909260100000
2022-10-27,247535285069822300000
2022-10-28,289341725191484740000
2022-10-29,261594646600455620000
2022-10-30,247701791843194830000
2022-10-31,316196776484780200000
2022-11-01,263640418321989600000
2022-11-02,225207191265896730000
2022-11-03,299969021755271200000
2022-11-04,235529176703023840000
2022-11-05,275518883498542760000
