date,dormancy_flow
2022-04-19,240486.907617763
2022-04-20,240208.85714856116
2022-04-21,233387.18466616163
2022-04-22,229151.3948363844
2022-04-23,229933.7441121065
2022-04-24,229523.96563516912
2022-04-25,236208.346376922
2022-04-26,222515.6244272647
2022-04-27,230416.52207196056
2022-04-28,233663.32037962409
2022-04-29,227534.74962581004
2022-04-30,222696.85829558375
2022-05-01,227485.1444953464
2022-05-02,228269.47734914257
2022-05-03,224083.1086602249
2022-05-04,235837.57364864345
2022-05-05,217452.73416435625
2022-05-06,214533.4417475836
2022-05-07,212000.16687763535
2022-05-08,202910.80928894135
2022-05-09,181923.78370661533
2022-05-10,186050.3615375292
2022-05-11,173509.76263118666
2022-05-12,175048.09383095283
2022-05-13,176104.43147860572
2022-05-14,181358.64778568133
2022-05-15,189051.553309534
2022-05-16,181346.2728669336
2022-05-17,184457.76980752932
2022-05-18,174746.28710646476
2022-05-19,183993.91845040536
2022-05-20,177562.74173117697
2022-05-21,179129.872502426
2022-05-22,184828.60210147177
2022-05-23,177540.20325246936
2022-05-24,181307.04692049645
2022-05-25,180991.44923515865
2022-05-26,179693.78175195574
2022-05-27,175164.85044396878
2022-05-28,177987.38923559297
2022-05-29,180105.1057203848
2022-05-30,194666.07181095533
2022-05-31,195561.7531136411
2022-06-01,183431.6686058385
2022-06-02,187476.32732865875
2022-06-03,183272.2269628404
2022-06-04,183612.74642710752
2022-06-05,184416.81904095385
2022-06-06,193391.55944358784
2022-06-07,192404.98823583865
2022-06-08,186757.74537829956
2022-06-09,185948.19614319265
2022-06-10,179812.3864372713
2022-06-11,175169.98290479436
2022-06-12,166718.44773274008
2022-06-13,139147.2186743559
2022-06-14,137358.07437169357
2022-06-15,139325.47433065833
2022-06-16,126273.82280073414
2022-06-17,127017.0249601865
2022-06-18,117876.41687892996
2022-06-19,127264.30030642325
2022-06-20,127795.1340882252
2022-06-21,128100.30257644864
2022-06-22,124120.84448080415
2022-06-23,131164.97246941857
2022-06-24,132456.83275276195
2022-06-25,133672.2099991355
2022-06-26,130987.89865123112
2022-06-27,129191.47322815946
2022-06-28,126659.9892152947
2022-06-29,125144.927242259
2022-06-30,118842.73527202902
2022-07-01,120965.35927222378
2022-07-02,120014.7035804587
2022-07-03,120291.05612212772
2022-07-04,126122.54359070804
2022-07-05,126051.44643639975
2022-07-06,128534.13095305618
2022-07-07,135604.50388737707
2022-07-08,137278.1477725373
2022-07-09,135572.47385218457
2022-07-10,131024.64907469288
2022-07-11,125858.10518446966
2022-07-12,122039.6976863979
2022-07-13,126849.79159942016
2022-07-14,129613.4689419944
2022-07-15,131428.70930618473
2022-07-16,133807.1256627606
2022-07-17,134439.2305505909
2022-07-18,142717.645578278
2022-07-19,150663.19787158587
2022-07-20,150304.5311158047
2022-07-21,148664.3843778196
2022-07-22,145996.76761770016
2022-07-23,144654.6082064543
2022-07-24,145814.97250198323
2022-07-25,139711.16783432863
2022-07-26,136864.41837134154
2022-07-27,147938.53162200967
2022-07-28,154035.79386187808
2022-07-29,155251.60268814827
2022-07-30,153452.64974039188
2022-07-31,151810.74769489435
2022-08-01,151879.53974866853
2022-08-02,150035.621645939
2022-08-03,148634.11228075885
2022-08-04,147379.30440154564
2022-08-05,151372.6277377639
2022-08-06,149700.95935864947
2022-08-07,150914.34367699685
2022-08-08,155557.54279291618
2022-08-09,151509.622085914
2022-08-10,156348.648830047
2022-08-11,156717.0417323532
2022-08-12,159858.62263107963
2022-08-13,160530.82158805625
2022-08-14,160944.40118208012
2022-08-15,159976.41557886577
2022-08-16,158292.82429637967
2022-08-17,155206.31628558322
2022-08-18,154714.3091341544
2022-08-19,139316.06367058546
2022-08-20,141184.87792983057
2022-08-21,144759.0633818186
2022-08-22,143588.11686540968
2022-08-23,144864.52170740085
2022-08-24,144235.1114275597
2022-08-25,146184.52524573225
2022-08-26,137561.92975812883
2022-08-27,136469.95136672835
2022-08-28,133718.77871519176
2022-08-29,138329.86505332403
2022-08-30,135023.99693373003
2022-08-31,136814.08772944284
2022-09-01,137642.88760760173
2022-09-02,136704.3400765302
2022-09-03,136113.7850297452
2022-09-04,137007.54912587514
2022-09-05,136337.16835990996
2022-09-06,129947.90766045476
2022-09-07,133093.3935319332
2022-09-08,133345.95220941742
2022-09-09,147841.28188516488
2022-09-10,150201.25438358626
2022-09-11,150972.23391621967
2022-09-12,155605.8233186658
2022-09-13,140523.95885888048
2022-09-14,141812.5038721483
2022-09-15,138193.3559897969
2022-09-16,138931.09175250036
2022-09-17,141964.97689955347
2022-09-18,137437.84818669985
2022-09-19,138854.44801028504
2022-09-20,134343.08564837414
2022-09-21,131929.85960326463
2022-09-22,138497.19454823085
2022-09-23,137938.48706149496
2022-09-24,135647.85715351562
2022-09-25,134770.617808172
2022-09-26,137965.85388222628
2022-09-27,137535.49201329218
2022-09-28,140396.81232744938
2022-09-29,141251.7307868021
2022-09-30,140685.53793407482
2022-10-01,140133.8129433102
2022-10-02,138407.24202568678
2022-10-03,142964.3113256457
2022-10-04,148546.57008958637
2022-10-05,147419.95508556225
2022-10-06,146333.29850099378
2022-10-07,143839.6077276882
2022-10-08,143326.7004239009
2022-10-09,143886.51711377708
2022-10-10,143170.08366258306
2022-10-11,142881.8050465567
2022-10-12,144866.81333024314
2022-10-13,146983.03918560076
2022-10-14,145965.76293511633
2022-10-15,145614.99513018838
2022-10-16,147977.67575543668
2022-10-17,150722.45876271342
2022-10-18,149662.8934196667
2022-10-19,149576.4598280508
2022-10-20,149514.36820056147
2022-10-21,151392.50195908966
2022-10-22,152013.6900034317
2022-10-23,155686.9330002471
2022-10-24,154558.82606027412
2022-10-25,161194.64410503727
2022-10-26,167490.36862813836
2022-10-27,163671.29416761926
2022-10-28,166770.69209725864
2022-10-29,169173.96750624475
2022-10-30,168388.77627162338
2022-10-31,170064.71085514317
2022-11-01,171312.46405624153
2022-11-02,169611.1909472515
2022-11-03,170800.42643816234
2022-11-04,179373.85214118642
2022-11-05,181811.98349895616
2022-11-06,179747.4413305753
2022-11-07,177160.23055651665
2022-11-08,161786.6978671756
2022-11-09,138484.63474629982
2022-11-10,154701.71845193332
2022-11-11,149614.30338103767
2022-11-12,148957.89606255136
2022-11-13,146394.2156205915
2022-11-14,150285.91120546075
2022-11-15,152201.12423822703
2022-11-16,151587.56791679992
2022-11-17,152413.2063158362
2022-11-18,153114.00078135813
2022-11-19,153851.73665963946
2022-11-20,150448.85762645316
2022-11-21,146884.7834054618
2022-11-22,150957.20725026735
2022-11-23,155158.01616121965
2022-11-24,155099.59810785518
2022-11-25,156774.46331671643
2022-11-26,156498.97671007848
2022-11-27,156592.89203921487
2022-11-28,155492.7156030422
2022-11-29,158342.5565656414
2022-11-30,165610.37168468954
2022-12-01,164302.84842088827
2022-12-02,165660.6705015805
2022-12-03,164786.21470770714
2022-12-04,167162.24659346053
2022-12-05,166239.55926099807
2022-12-06,167812.30493710446
2022-12-07,166352.6388197184
2022-12-08,170787.39310026568
2022-12-09,170593.97476666712
2022-12-10,170659.45549099857
2022-12-11,171054.75182464736
2022-12-12,172166.83210725948
2022-12-13,178700.5113164782
2022-12-14,180069.18796829757
2022-12-15,175863.54349864335
2022-12-16,168751.56260150805
2022-12-17,170800.14480040013
2022-12-18,170936.8256795467
2022-12-19,168150.6493127529
2022-12-20,173100.42620833172
2022-12-21,172420.35528517174
2022-12-22,172861.7165107062
2022-12-23,172968.43257964848
2022-12-24,173766.0430475502
2022-12-25,173989.4153925674
2022-12-26,175355.86950053356
2022-12-27,173885.02475092502
2022-12-28,172470.64210114733
2022-12-29,173919.20089327163
2022-12-30,174137.9371512
2022-12-31,173734.5754939804
2023-01-01,175794.39142435417
2023-01-02,176742.52401844293
2023-01-03,177117.51521815645
2023-01-04,179477.9803858359
2023-01-05,179276.55285414957
2023-01-06,180921.68576691768
2023-01-07,181052.53203938855
2023-01-08,182370.0855134575
2023-01-09,184344.6590837396
2023-01-10,187256.2685519405
2023-01-11,192431.22728201156
2023-01-12,203561.93815552988
2023-01-13,214447.67856933663
2023-01-14,227172.27938859267
2023-01-15,225534.80336828963
2023-01-16,228586.25087952017
2023-01-17,229376.5062777604
2023-01-18,223909.17033635857
2023-01-19,227943.88840011143
2023-01-20,245611.4701275325
2023-01-21,247019.0216331648
2023-01-22,246468.79252487715
2023-01-23,250207.76882051543
2023-01-24,246565.0836539459
2023-01-25,253169.17650151215
2023-01-26,251704.6510866931
2023-01-27,252296.53581227863
2023-01-28,251562.27579043628
2023-01-29,259987.16357333283
2023-01-30,249209.14277884108
2023-01-31,253166.0067513023
2023-02-01,271662.3684290118
2023-02-02,268965.8002934279
2023-02-03,268814.8801398545
2023-02-04,267500.16570811364
2023-02-05,263487.4611191669
2023-02-06,261244.67908052355
2023-02-07,267928.2163136716
2023-02-08,264185.1425541971
2023-02-09,252102.69628232272
2023-02-10,250644.25930366648
2023-02-11,253285.59370532067
2023-02-12,252654.99048018275
2023-02-13,253598.250730749
2023-02-14,258745.92768603688
2023-02-15,282962.65231932065
2023-02-16,275976.5435381881
2023-02-17,287430.013124547
2023-02-18,288506.5528219792
2023-02-19,285334.3764256084
2023-02-20,290810.301746477
2023-02-21,287679.01590313483
2023-02-22,284774.15010782995
2023-02-23,283328.0717421117
2023-02-24,275126.7454779473
2023-02-25,275535.9374405818
2023-02-26,280058.7044522884
2023-02-27,279800.95816113113
2023-02-28,275573.86339196586
2023-03-01,280851.36514456343
2023-03-02,279267.64341273403
2023-03-03,266761.7054515349
2023-03-04,266848.2047097465
2023-03-05,266839.83157203434
2023-03-06,267635.137895649
2023-03-07,265632.97060673125
2023-03-08,260374.4535427088
2023-03-09,244649.90309749264
2023-03-10,243083.23223200528
2023-03-11,249132.9203201406
2023-03-12,266006.7235126722
2023-03-13,293639.82311484206
2023-03-14,301734.89029635413
2023-03-15,296923.3188934626
2023-03-16,305509.5366123517
2023-03-17,335100.58824168524
2023-03-18,329419.7082766929
2023-03-19,345394.5485317087
2023-03-20,339515.8228410144
2023-03-21,345004.7638382057
2023-03-22,334869.33751499455
2023-03-23,347326.3844044176
2023-03-24,336316.74808136496
2023-03-25,358705.7387322612
2023-03-26,366814.6637437819
2023-03-27,355947.78708461695
2023-03-28,358742.84804386174
2023-03-29,378744.5621563873
2023-03-30,374867.60624059936
2023-03-31,381877.6137307848
2023-04-01,381805.8488486832
2023-04-02,378347.99925419944
2023-04-03,373556.3887375405
2023-04-04,379936.53904536815
2023-04-05,381049.49656521314
2023-04-06,379229.46782287175
2023-04-07,376915.90009457455
2023-04-08,377212.2110345737
2023-04-09,382822.69347333646
2023-04-10,400579.1735579792
2023-04-11,407586.0767027787
2023-04-12,401136.7770487072
2023-04-13,407166.0842408926
2023-04-14,408300.48036009
2023-04-15,405939.4239305694
2023-04-16,404799.5431969425
2023-04-17,393516.65044833306
2023-04-18,404406.3662548603
2023-04-19,382304.2066012671
2023-04-20,375506.9771268736
2023-04-21,368505.35432884697
2023-04-22,376686.9131331445
2023-04-23,373550.88225572807
2023-04-24,372258.3540044637
2023-04-25,383711.98631395295
2023-04-26,384587.1858953738
2023-04-27,399254.0508795087
2023-04-28,397230.36936380545
2023-04-29,393665.7056935159
2023-04-30,395620.8059812187
2023-05-01,379380.909057281
2023-05-02,388329.29928776785
2023-05-03,393939.6521822232
2023-05-04,393406.0515292269
2023-05-05,403251.7764890893
2023-05-06,396181.35437359335
2023-05-07,389945.4660836971
2023-05-08,380410.8263665793
2023-05-09,380116.195578351
2023-05-10,380423.53625896823
2023-05-11,372564.69814555073
2023-05-12,370243.29692337586
2023-05-13,371235.9598432874
2023-05-14,370866.12425502634
2023-05-15,375120.5412223029
2023-05-16,370331.867560718
2023-05-17,375787.2719719883
2023-05-18,367269.2379170932
2023-05-19,369084.5698028015
2023-05-20,371915.6542165081
2023-05-21,366619.9044506595
2023-05-22,365622.7878281495
2023-05-23,370040.492063977
2023-05-24,357648.86856638454
2023-05-25,356509.5773703644
2023-05-26,358800.17629869975
2023-05-27,360903.5076981428
2023-05-28,377055.1251105428
2023-05-29,371915.5343481214
2023-05-30,370891.2002122276
2023-05-31,363928.2156600544
2023-06-01,357352.14668844047
2023-06-02,362608.1575114036
2023-06-03,360203.13635310106
2023-06-04,360712.36076083576
2023-06-05,342112.76114811946
2023-06-06,360465.8885562279
2023-06-07,348805.3427794064
2023-06-08,350729.10644134186
2023-06-09,350280.32841931377
2023-06-10,341444.25613598165
2023-06-11,342707.14117428404
2023-06-12,341897.17498609924
2023-06-13,339693.38611574576
2023-06-14,329654.5179695263
2023-06-15,335142.67645591166
2023-06-16,345186.72260887636
2023-06-17,347546.3809115585
2023-06-18,342941.33055024897
2023-06-19,348362.0445119252
2023-06-20,367444.9470957971
2023-06-21,388554.9411630066
2023-06-22,387041.04681056016
2023-06-23,392260.6295974157
2023-06-24,389720.6486556358
2023-06-25,388775.7968153187
2023-06-26,385669.8255141628
2023-06-27,389890.3323293088
2023-06-28,381147.9153563964
2023-06-29,384442.2886931263
2023-06-30,384355.89818201255
2023-07-01,384467.628984731
2023-07-02,383719.74820729153
2023-07-03,388702.93665640254
2023-07-04,383399.6464031157
2023-07-05,379163.16883155913
2023-07-06,370555.3425836503
2023-07-07,374592.59278772847
2023-07-08,373471.6513275245
2023-07-09,371142.01709610305
2023-07-10,372992.03688786
2023-07-11,374197.4928712173
2023-07-12,369976.1848269539
2023-07-13,381686.9822223224
2023-07-14,367173.9666418183
2023-07-15,366033.2003401085
2023-07-16,364923.0038493061
2023-07-17,361931.0399137428
2023-07-18,357729.1381773572
2023-07-19,359712.3835973632
2023-07-20,357935.11655321246
2023-07-21,359984.9446157405
2023-07-22,355055.75831005286
2023-07-23,358895.81187748234
2023-07-24,347444.09506979445
2023-07-25,347660.4973529607
2023-07-26,348463.2005016803
2023-07-27,345971.30705284374
2023-07-28,346391.7792590442
2023-07-29,346488.5260346983
2023-07-30,344509.1367680473
2023-07-31,342764.29425884224
2023-08-01,347543.21736658213
2023-08-02,340741.8205712698
2023-08-03,341342.27266999224
2023-08-04,338262.6661907527
2023-08-05,338104.46878895565
2023-08-06,337517.2841207967
2023-08-07,338381.6629826732
2023-08-08,344799.3900972024
2023-08-09,341822.5462939818
2023-08-10,340249.06691094907
2023-08-11,339119.4652434343
2023-08-12,337947.8441865177
2023-08-13,335520.3266987025
2023-08-14,335328.42022202164
2023-08-15,331221.93320324004
2023-08-16,325212.6405055596
2023-08-17,301098.1979533666
2023-08-18,293754.8971565442
2023-08-19,293979.90623841586
2023-08-20,294618.3703343042
2023-08-21,293215.1064656845
2023-08-22,291764.9031795348
2023-08-23,296070.28924255096
2023-08-24,292180.9530617878
2023-08-25,291168.81298082235
2023-08-26,290696.2996155039
2023-08-27,290105.343274004
2023-08-28,290755.2209731534
2023-08-29,308194.08829123783
2023-08-30,304287.76823344664
2023-08-31,288459.9648829362
