timestamp,dogecoin_open,dogecoin_close,dogecoin_high,dogecoin_low,dogecoin_total_volume,dogecoin_market_cap,dogecoin_open_btc,dogecoin_high_btc,dogecoin_low_btc,dogecoin_close_btc,dogecoin_volume_btc,dogecoin_log_return_1,sma_fast,sma_slow,signal,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2024-01-07,0.080612,0.078236,0.081463,0.077378,478786266.09188473,11113548201.132027,1.8320076360165448e-06,1.8310818404549438e-06,1.7711905143406506e-06,1.782790994439887e-06,0.03161421002059119,-0.02933441235026101,0.08440028571428572,0.08900341176470589,-1,0.02933441235026101,0,0.0,0.02933441235026101,1.0,upper,4.0,0.0782,0.0356
2024-01-08,0.078234,0.081298,0.081798,0.074845,662001144.9694165,11596700758.788652,1.779946761313221e-06,1.7332655266670904e-06,1.730600258971513e-06,1.7321032895858189e-06,0.016216971603597474,0.038391516329900115,0.08286342857142857,0.0881804705882353,-1,-0.038391516329900115,0,0.0,-0.038391516329900115,0.0,time,5.0,-0.0037,0.0371
2024-01-09,0.081345,0.079265,0.08154,0.077293,1082498425.735404,11291468784.20681,1.731960738390785e-06,1.7101510067114095e-06,1.7018892020433327e-06,1.719190560881447e-06,0.027138503812687786,-0.025324746709980177,0.0811522857142857,0.0873364705882353,-1,0.025324746709980177,0,0.0,0.025324746709980177,1.0,time,5.0,0.0089,0.0357
2024-01-10,0.07934,0.083053,0.084086,0.077004,766292696.351271,11850539580.28638,1.719511930820745e-06,1.7665497174310383e-06,1.7268955618846853e-06,1.7810301938582948e-06,0.014727884954879951,0.04668228892927922,0.08131171428571428,0.08682258823529411,-1,-0.04668228892927922,0,0.0,-0.04668228892927922,0.0,time,5.0,-0.0224,0.0379
2024-01-11,0.083052,0.084603,0.087278,0.082352,862641945.987629,12077940290.732769,1.783533049864708e-06,1.7852642775323187e-06,1.8035127677280888e-06,1.8267262598782225e-06,0.01753403974740308,0.018490768751888858,0.08138485714285713,0.08623764705882353,-1,-0.018490768751888858,0,0.0,-0.018490768751888858,0.0,time,5.0,-0.0403,0.0366
2024-01-12,0.084569,0.080134,0.085479,0.078262,663058206.2031657,11406626224.195385,1.8238262632362139e-06,1.8380999483915362e-06,1.8754373352504192e-06,1.8681866927775447e-06,0.01444152751328193,-0.054269493550468936,0.08102200000000001,0.08558429411764705,-1,0.054269493550468936,0,0.0,0.054269493550468936,1.0,time,5.0,0.0038,0.0383
2024-01-13,0.080058,0.080995,0.081259,0.078947,310563996.9995606,11549274248.900946,1.8674162020946562e-06,1.8804295003818294e-06,1.8604656643257765e-06,1.8902865944734876e-06,0.015988058097330345,0.010687190946210963,0.08108342857142857,0.08484635294117647,-1,-0.010687190946210963,0,0.0,-0.010687190946210963,0.0,time,5.0,-0.0382,0.0368
2024-01-14,0.080929,0.07997,0.083654,0.079852,513071839.27385247,11442013137.843853,1.8898489129673308e-06,1.941468622354252e-06,1.9124395267519282e-06,1.9131121265041507e-06,0.030235905239599903,-0.012735860028302726,0.08133114285714285,0.08415005882352941,-1,0.012735860028302726,0,0.0,0.012735860028302726,0.0,time,5.0,-0.0183,0.0351
2024-01-15,0.080105,0.081215,0.081622,0.0799,314027160.52835727,11605324704.674938,1.9188205140489134e-06,1.8844688661602752e-06,1.913909981555561e-06,1.9070373588184186e-06,0.013873811281291773,0.015448394827560503,0.0813192857142857,0.08357529411764705,-1,-0.015448394827560503,0,0.0,-0.015448394827560503,1.0,upper,5.0,0.0766,0.034
2024-01-16,0.081101,0.081264,0.082219,0.079855,387621923.36921513,11597417524.137981,1.9079894603114854e-06,1.888398906727302e-06,1.8936447711643348e-06,1.88337814035413e-06,0.017600684781624045,0.0006031548875301812,0.08160485714285715,0.08305358823529412,-1,-0.0006031548875301812,0,0.0,-0.0006031548875301812,1.0,upper,4.0,0.076,0.0323
